     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2320000000E+03    0.2195772161E+03    0.1931521412E+01    0.7800000000E+01    0.3540000000E+04
         2    0.2350000000E+03    0.1961320864E+03    0.2197224577E+01    0.7500000000E+01    0.5205882353E+04
         3    0.2350000000E+03    0.2369338739E+03    0.2197224577E+01    0.7800000000E+01    0.3687500000E+04
         4    0.2410000000E+03    0.2262518712E+03    0.2014903021E+01    0.7800000000E+01    0.3540000000E+04
         5    0.2250000000E+03    0.1923139985E+03    0.1840549633E+01    0.6600000000E+01    0.4214285714E+04
         6    0.2450000000E+03    0.2284998186E+03    0.2091864062E+01    0.7800000000E+01    0.3687500000E+04
         7    0.2550000000E+03    0.2455054531E+03    0.2197224577E+01    0.8400000000E+01    0.3403846154E+04
         8    0.2450000000E+03    0.2365478625E+03    0.2091864062E+01    0.8100000000E+01    0.3403846154E+04
         9    0.2750000000E+03    0.2311128528E+03    0.2292534757E+01    0.8100000000E+01    0.4214285714E+04
        10    0.2390000000E+03    0.2097531662E+03    0.2128231706E+01    0.6600000000E+01    0.4425000000E+04
        11    0.2550000000E+03    0.2237568650E+03    0.2163323026E+01    0.6900000000E+01    0.4022727273E+04
        12    0.3970000000E+03    0.4029003013E+03    0.1887069649E+01    0.9975000000E+02    0.2544117647E+04
        13    0.4190000000E+03    0.4507568470E+03    0.2484906650E+01    0.9975000000E+02    0.2544117647E+04
        14    0.4010000000E+03    0.4151865236E+03    0.2128231706E+01    0.9690000000E+02    0.2621212121E+04
        15    0.3940000000E+03    0.4371627129E+03    0.2433613355E+01    0.1026000000E+03    0.3089285714E+04
        16    0.4260000000E+03    0.3957003455E+03    0.1974081026E+01    0.9405000000E+02    0.2703125000E+04
        17    0.4260000000E+03    0.4573536005E+03    0.2433613355E+01    0.1083000000E+03    0.2703125000E+04
        18    0.4540000000E+03    0.4281576197E+03    0.2379546134E+01    0.9405000000E+02    0.2703125000E+04
        19    0.4180000000E+03    0.3982860419E+03    0.2128231706E+01    0.9120000000E+02    0.2883333333E+04
        20    0.4160000000E+03    0.4603473502E+03    0.2433613355E+01    0.1054500000E+03    0.2402777778E+04
        21    0.3950000000E+03    0.4120548942E+03    0.2054123734E+01    0.9975000000E+02    0.2703125000E+04
        22    0.4330000000E+03    0.4281482952E+03    0.2054123734E+01    0.1054500000E+03    0.2471428571E+04
        23    0.3790000000E+03    0.3946665532E+03    0.2230014400E+01    0.9120000000E+02    0.3326923077E+04
        24    0.3820000000E+03    0.3723607413E+03    0.1887069649E+01    0.8225000000E+02    0.2544117647E+04
        25    0.3850000000E+03    0.4202172870E+03    0.2484906650E+01    0.8225000000E+02    0.2544117647E+04
        26    0.3650000000E+03    0.3855195224E+03    0.2128231706E+01    0.7990000000E+02    0.2621212121E+04
        27    0.3790000000E+03    0.4057505940E+03    0.2433613355E+01    0.8460000000E+02    0.3089285714E+04
        28    0.3770000000E+03    0.3669059032E+03    0.1974081026E+01    0.7755000000E+02    0.2703125000E+04
        29    0.3940000000E+03    0.4241963639E+03    0.2433613355E+01    0.8930000000E+02    0.2703125000E+04
        30    0.4250000000E+03    0.3993631774E+03    0.2379546134E+01    0.7755000000E+02    0.2703125000E+04
        31    0.3950000000E+03    0.3703641584E+03    0.2128231706E+01    0.7520000000E+02    0.2883333333E+04
        32    0.3930000000E+03    0.4280626725E+03    0.2433613355E+01    0.8695000000E+02    0.2402777778E+04
        33    0.3750000000E+03    0.3815153342E+03    0.2054123734E+01    0.8225000000E+02    0.2703125000E+04
        34    0.3890000000E+03    0.3958636175E+03    0.2054123734E+01    0.8695000000E+02    0.2471428571E+04
        35    0.3580000000E+03    0.3667446698E+03    0.2230014400E+01    0.7520000000E+02    0.3326923077E+04
        36    0.3440000000E+03    0.3418211812E+03    0.1887069649E+01    0.6475000000E+02    0.2544117647E+04
        37    0.3690000000E+03    0.3896777270E+03    0.2484906650E+01    0.6475000000E+02    0.2544117647E+04
        38    0.3250000000E+03    0.3558525212E+03    0.2128231706E+01    0.6290000000E+02    0.2621212121E+04
        39    0.3380000000E+03    0.3743384751E+03    0.2433613355E+01    0.6660000000E+02    0.3089285714E+04
        40    0.3620000000E+03    0.3381114609E+03    0.1974081026E+01    0.6105000000E+02    0.2703125000E+04
        41    0.3610000000E+03    0.3910391273E+03    0.2433613355E+01    0.7030000000E+02    0.2703125000E+04
        42    0.3850000000E+03    0.3705687351E+03    0.2379546134E+01    0.6105000000E+02    0.2703125000E+04
        43    0.3480000000E+03    0.3424422750E+03    0.2128231706E+01    0.5920000000E+02    0.2883333333E+04
        44    0.3680000000E+03    0.3957779947E+03    0.2433613355E+01    0.6845000000E+02    0.2402777778E+04
        45    0.3410000000E+03    0.3509757742E+03    0.2054123734E+01    0.6475000000E+02    0.2703125000E+04
        46    0.3650000000E+03    0.3635789398E+03    0.2054123734E+01    0.6845000000E+02    0.2471428571E+04
        47    0.3250000000E+03    0.3388227863E+03    0.2230014400E+01    0.5920000000E+02    0.3326923077E+04
        48    0.5130000000E+03    0.4960398568E+03    0.2433613355E+01    0.1192500000E+03    0.1965116279E+04
        49    0.4480000000E+03    0.4950898228E+03    0.2406945108E+01    0.1192500000E+03    0.1920454545E+04
        50    0.4650000000E+03    0.4613204504E+03    0.2197224577E+01    0.1192500000E+03    0.2560606061E+04
        51    0.4460000000E+03    0.4584944768E+03    0.2054123734E+01    0.1166000000E+03    0.2060975610E+04
        52    0.4370000000E+03    0.4428379751E+03    0.1974081026E+01    0.1113000000E+03    0.2060975610E+04
        53    0.5020000000E+03    0.5067301293E+03    0.2351375257E+01    0.1272000000E+03    0.1836956522E+04
        54    0.4650000000E+03    0.4698535785E+03    0.2163323026E+01    0.1245500000E+03    0.2485294118E+04
        55    0.4750000000E+03    0.4766460159E+03    0.2322387720E+01    0.1139500000E+03    0.2011904762E+04
        56    0.5040000000E+03    0.5123914806E+03    0.2351375257E+01    0.1298500000E+03    0.1797872340E+04
        57    0.4860000000E+03    0.4586066486E+03    0.2163323026E+01    0.1192500000E+03    0.2560606061E+04
        58    0.4520000000E+03    0.4752952494E+03    0.2379546134E+01    0.1113000000E+03    0.2060975610E+04
        59    0.4590000000E+03    0.4567747082E+03    0.2433613355E+01    0.9675000000E+02    0.1965116279E+04
        60    0.4150000000E+03    0.4558246742E+03    0.2406945108E+01    0.9675000000E+02    0.1920454545E+04
        61    0.4370000000E+03    0.4220553018E+03    0.2197224577E+01    0.9675000000E+02    0.2560606061E+04
        62    0.4150000000E+03    0.4201018871E+03    0.2054123734E+01    0.9460000000E+02    0.2060975610E+04
        63    0.4010000000E+03    0.4061905031E+03    0.1974081026E+01    0.9030000000E+02    0.2060975610E+04
        64    0.4630000000E+03    0.4648473042E+03    0.2351375257E+01    0.1032000000E+03    0.1836956522E+04
        65    0.4420000000E+03    0.4288433122E+03    0.2163323026E+01    0.1010500000E+03    0.2485294118E+04
        66    0.4380000000E+03    0.4391259851E+03    0.2322387720E+01    0.9245000000E+02    0.2011904762E+04
        67    0.4680000000E+03    0.4696360965E+03    0.2351375257E+01    0.1053500000E+03    0.1797872340E+04
        68    0.4520000000E+03    0.4193415000E+03    0.2163323026E+01    0.9675000000E+02    0.2560606061E+04
        69    0.4220000000E+03    0.4386477774E+03    0.2379546134E+01    0.9030000000E+02    0.2060975610E+04
        70    0.4130000000E+03    0.4175095596E+03    0.2433613355E+01    0.7425000000E+02    0.1965116279E+04
        71    0.3950000000E+03    0.4165595256E+03    0.2406945108E+01    0.7425000000E+02    0.1920454545E+04
        72    0.3980000000E+03    0.3827901532E+03    0.2197224577E+01    0.7425000000E+02    0.2560606061E+04
        73    0.3780000000E+03    0.3817092973E+03    0.2054123734E+01    0.7260000000E+02    0.2060975610E+04
        74    0.3720000000E+03    0.3695430311E+03    0.1974081026E+01    0.6930000000E+02    0.2060975610E+04
        75    0.4150000000E+03    0.4229644790E+03    0.2351375257E+01    0.7920000000E+02    0.1836956522E+04
        76    0.3960000000E+03    0.3878330459E+03    0.2163323026E+01    0.7755000000E+02    0.2485294118E+04
        77    0.3880000000E+03    0.4016059542E+03    0.2322387720E+01    0.7095000000E+02    0.2011904762E+04
        78    0.4150000000E+03    0.4268807125E+03    0.2351375257E+01    0.8085000000E+02    0.1797872340E+04
        79    0.3980000000E+03    0.3800763514E+03    0.2163323026E+01    0.7425000000E+02    0.2560606061E+04
        80    0.3820000000E+03    0.4020003053E+03    0.2379546134E+01    0.6930000000E+02    0.2060975610E+04
        81    0.5230000000E+03    0.5209339703E+03    0.2261763098E+01    0.1347500000E+03    0.1527777778E+04
        82    0.5340000000E+03    0.5288562076E+03    0.2433613355E+01    0.1323000000E+03    0.1586538462E+04
        83    0.4890000000E+03    0.5055046750E+03    0.2292534757E+01    0.1274000000E+03    0.1718750000E+04
        84    0.5000000000E+03    0.5394866088E+03    0.2459588842E+01    0.1372000000E+03    0.1586538462E+04
        85    0.4950000000E+03    0.4821758402E+03    0.1840549633E+01    0.1323000000E+03    0.1556603774E+04
