     Index       y_measurement           y_fitting        descriptor_1
        85    0.4950000000E+03    0.5969330818E+03    0.8910000000E+04
        86    0.5220000000E+03    0.6165663856E+03    0.9405000000E+04
        87    0.5310000000E+03    0.5903886472E+03    0.8745000000E+04
        88    0.5330000000E+03    0.6165663856E+03    0.9405000000E+04
        89    0.4920000000E+03    0.6100219510E+03    0.9240000000E+04
        90    0.5050000000E+03    0.5838442126E+03    0.8580000000E+04
        91    0.5410000000E+03    0.5969330818E+03    0.8910000000E+04
        92    0.4680000000E+03    0.5380331703E+03    0.7425000000E+04
        93    0.4590000000E+03    0.5326786329E+03    0.7290000000E+04
        94    0.4440000000E+03    0.5219695581E+03    0.7020000000E+04
        95    0.4580000000E+03    0.5433877077E+03    0.7560000000E+04
        96    0.4450000000E+03    0.5326786329E+03    0.7290000000E+04
        97    0.4640000000E+03    0.5487422451E+03    0.7695000000E+04
        98    0.4660000000E+03    0.5273240955E+03    0.7155000000E+04
        99    0.4860000000E+03    0.5487422451E+03    0.7695000000E+04
       100    0.4610000000E+03    0.5433877077E+03    0.7560000000E+04
       101    0.4640000000E+03    0.5219695581E+03    0.7020000000E+04
       102    0.4750000000E+03    0.5326786329E+03    0.7290000000E+04
       103    0.4190000000E+03    0.4725888242E+03    0.5775000000E+04
       104    0.4180000000E+03    0.4684241840E+03    0.5670000000E+04
       105    0.4020000000E+03    0.4600949036E+03    0.5460000000E+04
       106    0.3980000000E+03    0.4767534645E+03    0.5880000000E+04
       107    0.4110000000E+03    0.4684241840E+03    0.5670000000E+04
       108    0.4280000000E+03    0.4809181047E+03    0.5985000000E+04
       109    0.4150000000E+03    0.4642595438E+03    0.5565000000E+04
       110    0.4250000000E+03    0.4809181047E+03    0.5985000000E+04
       111    0.4120000000E+03    0.4767534645E+03    0.5880000000E+04
       112    0.4100000000E+03    0.4600949036E+03    0.5460000000E+04
       113    0.4150000000E+03    0.4684241840E+03    0.5670000000E+04
       114    0.5820000000E+03    0.5709933228E+03    0.8256000000E+04
       115    0.5240000000E+03    0.5633779807E+03    0.8064000000E+04
       116    0.5830000000E+03    0.5481472965E+03    0.7680000000E+04
       117    0.5690000000E+03    0.5633779807E+03    0.8064000000E+04
       118    0.5360000000E+03    0.5405319544E+03    0.7488000000E+04
       119    0.5770000000E+03    0.5633779807E+03    0.8064000000E+04
       120    0.5650000000E+03    0.5633779807E+03    0.8064000000E+04
       121    0.5620000000E+03    0.5481472965E+03    0.7680000000E+04
       122    0.5220000000E+03    0.5198277431E+03    0.6966000000E+04
       123    0.5040000000E+03    0.5134022982E+03    0.6804000000E+04
       124    0.5160000000E+03    0.5005514085E+03    0.6480000000E+04
       125    0.5170000000E+03    0.5134022982E+03    0.6804000000E+04
       126    0.5110000000E+03    0.4941259636E+03    0.6318000000E+04
       127    0.5180000000E+03    0.5134022982E+03    0.6804000000E+04
       128    0.5240000000E+03    0.5134022982E+03    0.6804000000E+04
       129    0.5030000000E+03    0.5005514085E+03    0.6480000000E+04
       130    0.4830000000E+03    0.4686621635E+03    0.5676000000E+04
       131    0.4570000000E+03    0.4634266158E+03    0.5544000000E+04
       132    0.4820000000E+03    0.4529555204E+03    0.5280000000E+04
       133    0.4700000000E+03    0.4634266158E+03    0.5544000000E+04
       134    0.4590000000E+03    0.4477199727E+03    0.5148000000E+04
       135    0.4900000000E+03    0.4634266158E+03    0.5544000000E+04
       136    0.4850000000E+03    0.4634266158E+03    0.5544000000E+04
       137    0.4830000000E+03    0.4529555204E+03    0.5280000000E+04
       138    0.5870000000E+03    0.5176859282E+03    0.6912000000E+04
       139    0.5710000000E+03    0.5100705861E+03    0.6720000000E+04
       140    0.5780000000E+03    0.5176859282E+03    0.6912000000E+04
       141    0.5260000000E+03    0.5176859282E+03    0.6912000000E+04
       142    0.5350000000E+03    0.5024552440E+03    0.6528000000E+04
       143    0.5720000000E+03    0.5176859282E+03    0.6912000000E+04
       144    0.5620000000E+03    0.5253012703E+03    0.7104000000E+04
       145    0.5630000000E+03    0.5100705861E+03    0.6720000000E+04
       146    0.5830000000E+03    0.5100705861E+03    0.6720000000E+04
       147    0.5850000000E+03    0.4948399019E+03    0.6336000000E+04
       148    0.5920000000E+03    0.5100705861E+03    0.6720000000E+04
       149    0.5730000000E+03    0.5253012703E+03    0.7104000000E+04
       150    0.5360000000E+03    0.5329166123E+03    0.7296000000E+04
       151    0.5570000000E+03    0.5024552440E+03    0.6528000000E+04
       152    0.5520000000E+03    0.4748496289E+03    0.5832000000E+04
       153    0.5190000000E+03    0.4684241840E+03    0.5670000000E+04
       154    0.5240000000E+03    0.4748496289E+03    0.5832000000E+04
       155    0.5080000000E+03    0.4748496289E+03    0.5832000000E+04
       156    0.4900000000E+03    0.4619987392E+03    0.5508000000E+04
       157    0.5500000000E+03    0.4748496289E+03    0.5832000000E+04
       158    0.5150000000E+03    0.4812750738E+03    0.5994000000E+04
       159    0.5300000000E+03    0.4684241840E+03    0.5670000000E+04
       160    0.5460000000E+03    0.4684241840E+03    0.5670000000E+04
       161    0.5350000000E+03    0.4555732943E+03    0.5346000000E+04
       162    0.5500000000E+03    0.4684241840E+03    0.5670000000E+04
       163    0.5420000000E+03    0.4812750738E+03    0.5994000000E+04
       164    0.5920000000E+03    0.4877005187E+03    0.6156000000E+04
       165    0.5240000000E+03    0.4619987392E+03    0.5508000000E+04
       166    0.4970000000E+03    0.4320133297E+03    0.4752000000E+04
       167    0.4910000000E+03    0.4267777820E+03    0.4620000000E+04
       168    0.4630000000E+03    0.4320133297E+03    0.4752000000E+04
       169    0.4640000000E+03    0.4320133297E+03    0.4752000000E+04
       170    0.4590000000E+03    0.4215422343E+03    0.4488000000E+04
       171    0.4890000000E+03    0.4320133297E+03    0.4752000000E+04
       172    0.4770000000E+03    0.4372488774E+03    0.4884000000E+04
       173    0.4690000000E+03    0.4267777820E+03    0.4620000000E+04
       174    0.4960000000E+03    0.4267777820E+03    0.4620000000E+04
       175    0.4670000000E+03    0.4163066866E+03    0.4356000000E+04
       176    0.5110000000E+03    0.4267777820E+03    0.4620000000E+04
       177    0.4900000000E+03    0.4372488774E+03    0.4884000000E+04
       178    0.5230000000E+03    0.4424844251E+03    0.5016000000E+04
       179    0.4760000000E+03    0.4215422343E+03    0.4488000000E+04
       180    0.6100000000E+03    0.5557626386E+03    0.7872000000E+04
       181    0.5810000000E+03    0.5405319544E+03    0.7488000000E+04
       182    0.6250000000E+03    0.5709933228E+03    0.8256000000E+04
       183    0.5620000000E+03    0.5481472965E+03    0.7680000000E+04
       184    0.6350000000E+03    0.5557626386E+03    0.7872000000E+04
       185    0.5660000000E+03    0.5557626386E+03    0.7872000000E+04
       186    0.6380000000E+03    0.5405319544E+03    0.7488000000E+04
       187    0.6060000000E+03    0.5253012703E+03    0.7104000000E+04
       188    0.5820000000E+03    0.5633779807E+03    0.8064000000E+04
       189    0.6340000000E+03    0.5633779807E+03    0.8064000000E+04
       190    0.5850000000E+03    0.5481472965E+03    0.7680000000E+04
       191    0.6030000000E+03    0.5481472965E+03    0.7680000000E+04
       192    0.6250000000E+03    0.5481472965E+03    0.7680000000E+04
       193    0.6310000000E+03    0.5481472965E+03    0.7680000000E+04
       194    0.6250000000E+03    0.5786086649E+03    0.8448000000E+04
