     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2061349398E+03    0.0000000000E+00    0.2260329407E-05
         2    0.2350000000E+03    0.2258590573E+03    0.0000000000E+00    0.1245144714E+00
         3    0.2350000000E+03    0.2061618653E+03    0.0000000000E+00    0.1722322560E-03
         4    0.2410000000E+03    0.2061349398E+03    0.0000000000E+00    0.2260329407E-05
         5    0.2250000000E+03    0.2061372275E+03    0.0000000000E+00    0.1670170079E-04
         6    0.2450000000E+03    0.2070084669E+03    0.0000000000E+00    0.5516564421E-02
         7    0.2550000000E+03    0.2061485896E+03    0.0000000000E+00    0.8842698866E-04
         8    0.2450000000E+03    0.2061347989E+03    0.0000000000E+00    0.1370959086E-05
         9    0.2750000000E+03    0.2167806816E+03    0.0000000000E+00    0.6720551274E-01
        10    0.2390000000E+03    0.2061372275E+03    0.0000000000E+00    0.1670170079E-04
        11    0.2550000000E+03    0.2062087460E+03    0.0000000000E+00    0.4681758117E-03
        12    0.3970000000E+03    0.4370194769E+03    0.6615000000E+04    0.6305116760E-15
        13    0.4190000000E+03    0.4418030779E+03    0.6615000000E+04    0.3019738342E-01
        14    0.4010000000E+03    0.4304227722E+03    0.6426000000E+04    0.4139937719E-07
        15    0.3940000000E+03    0.4515030129E+03    0.6804000000E+04    0.4978706837E-01
        16    0.4260000000E+03    0.4238287001E+03    0.6237000000E+04    0.1670170079E-04
        17    0.4260000000E+03    0.4591328708E+03    0.7182000000E+04    0.1466601712E-01
        18    0.4540000000E+03    0.4296687578E+03    0.6237000000E+04    0.3688316740E-01
        19    0.4180000000E+03    0.4172293609E+03    0.6048000000E+04    0.1125351747E-06
        20    0.4160000000E+03    0.4556953778E+03    0.6993000000E+04    0.3460917829E-01
        21    0.3950000000E+03    0.4370194769E+03    0.6615000000E+04    0.6305116760E-15
        22    0.4330000000E+03    0.4502129010E+03    0.6993000000E+04    0.9237449662E-08
        23    0.3790000000E+03    0.4236865290E+03    0.6048000000E+04    0.4076220398E-01
        24    0.3820000000E+03    0.4003710809E+03    0.5565000000E+04    0.6305116760E-15
        25    0.3850000000E+03    0.4051546818E+03    0.5565000000E+04    0.3019738342E-01
        26    0.3650000000E+03    0.3948214732E+03    0.5406000000E+04    0.4139937719E-07
        27    0.3790000000E+03    0.4138075198E+03    0.5724000000E+04    0.4978706837E-01
        28    0.3770000000E+03    0.3892744981E+03    0.5247000000E+04    0.1670170079E-04
        29    0.3940000000E+03    0.4193431837E+03    0.6042000000E+04    0.1466601712E-01
        30    0.4250000000E+03    0.3951145558E+03    0.5247000000E+04    0.3688316740E-01
        31    0.3950000000E+03    0.3837222559E+03    0.5088000000E+04    0.1125351747E-06
        32    0.3930000000E+03    0.4169527877E+03    0.5883000000E+04    0.3460917829E-01
        33    0.3750000000E+03    0.4003710809E+03    0.5565000000E+04    0.6305116760E-15
        34    0.3890000000E+03    0.4114703108E+03    0.5883000000E+04    0.9237449662E-08
        35    0.3580000000E+03    0.3901794240E+03    0.5088000000E+04    0.4076220398E-01
        36    0.3440000000E+03    0.3637226848E+03    0.4515000000E+04    0.6305116760E-15
        37    0.3690000000E+03    0.3685062858E+03    0.4515000000E+04    0.3019738342E-01
        38    0.3250000000E+03    0.3592201741E+03    0.4386000000E+04    0.4139937719E-07
        39    0.3380000000E+03    0.3761120267E+03    0.4644000000E+04    0.4978706837E-01
        40    0.3620000000E+03    0.3547202961E+03    0.4257000000E+04    0.1670170079E-04
        41    0.3610000000E+03    0.3795534965E+03    0.4902000000E+04    0.1466601712E-01
