     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2544767273E+03    0.0000000000E+00    0.0000000000E+00
         2    0.2350000000E+03    0.2544767273E+03    0.0000000000E+00    0.0000000000E+00
         3    0.2350000000E+03    0.2609220764E+03    0.0000000000E+00   -0.8767429994E-01
         4    0.2410000000E+03    0.2544767273E+03    0.0000000000E+00    0.0000000000E+00
         5    0.2250000000E+03    0.2465997568E+03    0.0000000000E+00    0.1071482504E+00
         6    0.2450000000E+03    0.2483178382E+03    0.0000000000E+00    0.8377766439E-01
         7    0.2550000000E+03    0.2596237989E+03    0.0000000000E+00   -0.7001419095E-01
         8    0.2450000000E+03    0.2494847378E+03    0.0000000000E+00    0.6790465252E-01
         9    0.2750000000E+03    0.2336858779E+03    0.0000000000E+00    0.2828121722E+00
        10    0.2390000000E+03    0.2614456831E+03    0.0000000000E+00   -0.9479677692E-01
        11    0.2550000000E+03    0.2420669733E+03    0.0000000000E+00    0.1688064508E+00
        12    0.3970000000E+03    0.4148784833E+03    0.4705769842E+04    0.3673654300E-01
        13    0.4190000000E+03    0.4301734956E+03    0.5069136895E+04    0.0000000000E+00
        14    0.4010000000E+03    0.4129190894E+03    0.4571319275E+04    0.0000000000E+00
        15    0.3940000000E+03    0.4364302910E+03    0.5327351886E+04    0.3663160105E-01
        16    0.4260000000E+03    0.4053182843E+03    0.4436868708E+04    0.4000201348E-01
        17    0.4260000000E+03    0.4350045567E+03    0.5583990706E+04    0.1770234086E+00
        18    0.4540000000E+03    0.4118381363E+03    0.4707589251E+04    0.7895134240E-01
        19    0.4180000000E+03    0.3976999316E+03    0.4221220982E+04    0.4196055964E-01
        20    0.4160000000E+03    0.4417303813E+03    0.5475333883E+04    0.3430526104E-01
        21    0.3950000000E+03    0.4225507271E+03    0.4705769842E+04   -0.6762686645E-01
        22    0.4330000000E+03    0.4315616084E+03    0.5109186201E+04    0.0000000000E+00
        23    0.3790000000E+03    0.4045932526E+03    0.4529270020E+04    0.9342902119E-01
        24    0.3820000000E+03    0.3889892084E+03    0.3958822248E+04    0.3673654300E-01
        25    0.3850000000E+03    0.4022851197E+03    0.4264511991E+04    0.0000000000E+00
        26    0.3650000000E+03    0.3877695081E+03    0.3845713041E+04    0.0000000000E+00
        27    0.3790000000E+03    0.4071213189E+03    0.4481740476E+04    0.3663160105E-01
        28    0.3770000000E+03    0.3809083966E+03    0.3732603834E+04    0.4000201348E-01
        29    0.3940000000E+03    0.4042836598E+03    0.4697642975E+04    0.1770234086E+00
        30    0.4250000000E+03    0.3859388517E+03    0.3960352862E+04    0.7895134240E-01
        31    0.3950000000E+03    0.3744764519E+03    0.3551185905E+04    0.4196055964E-01
        32    0.3930000000E+03    0.4116072711E+03    0.4606233267E+04    0.3430526104E-01
        33    0.3750000000E+03    0.3966614522E+03    0.3958822248E+04   -0.6762686645E-01
        34    0.3890000000E+03    0.4034528971E+03    0.4298204265E+04    0.0000000000E+00
