     Index       y_measurement           y_fitting        descriptor_1
         1    0.2320000000E+03    0.2777782928E+03    0.0000000000E+00
         2    0.2350000000E+03    0.2777782928E+03    0.0000000000E+00
         3    0.2350000000E+03    0.2777782928E+03    0.0000000000E+00
         4    0.2410000000E+03    0.2777782928E+03    0.0000000000E+00
         5    0.2250000000E+03    0.2777782928E+03    0.0000000000E+00
         6    0.2450000000E+03    0.2777782928E+03    0.0000000000E+00
         7    0.2550000000E+03    0.2777782928E+03    0.0000000000E+00
         8    0.2450000000E+03    0.2777782928E+03    0.0000000000E+00
         9    0.2750000000E+03    0.2777782928E+03    0.0000000000E+00
        10    0.2390000000E+03    0.2777782928E+03    0.0000000000E+00
        11    0.2550000000E+03    0.2777782928E+03    0.0000000000E+00
        12    0.3970000000E+03    0.4020137067E+03    0.3070411013E+04
        13    0.4190000000E+03    0.4601309424E+03    0.4506747037E+04
        14    0.4010000000E+03    0.4132435575E+03    0.3347950697E+04
        15    0.3940000000E+03    0.4711279511E+03    0.4778532154E+04
        16    0.4260000000E+03    0.4184515411E+03    0.3476663193E+04
        17    0.4260000000E+03    0.4723149200E+03    0.4807867447E+04
        18    0.4540000000E+03    0.4497107910E+03    0.4249218635E+04
        19    0.4180000000E+03    0.4052750125E+03    0.3151012421E+04
        20    0.4160000000E+03    0.4736377464E+03    0.4840560387E+04
        21    0.3950000000E+03    0.4020137067E+03    0.3070411013E+04
        22    0.4330000000E+03    0.4251963750E+03    0.3643358112E+04
        23    0.3790000000E+03    0.4445007153E+03    0.4120454434E+04
        24    0.3820000000E+03    0.3822937998E+03    0.2583044186E+04
        25    0.3850000000E+03    0.4311860774E+03    0.3791390364E+04
        26    0.3650000000E+03    0.3917411346E+03    0.2816529952E+04
        27    0.3790000000E+03    0.4404375291E+03    0.4020034986E+04
        28    0.3770000000E+03    0.3961224541E+03    0.2924811893E+04
        29    0.3940000000E+03    0.4414360902E+03    0.4044713884E+04
        30    0.4250000000E+03    0.4224199183E+03    0.3574739486E+04
        31    0.3950000000E+03    0.3850374380E+03    0.2650851719E+04
        32    0.3930000000E+03    0.4425489443E+03    0.4072217469E+04
        33    0.3750000000E+03    0.3822937998E+03    0.2583044186E+04
        34    0.3890000000E+03    0.4017966794E+03    0.3065047300E+04
        35    0.3580000000E+03    0.4180368387E+03    0.3466414047E+04
        36    0.3440000000E+03    0.3625738928E+03    0.2095677358E+04
        37    0.3690000000E+03    0.4022412124E+03    0.3076033692E+04
        38    0.3250000000E+03    0.3702387116E+03    0.2285109206E+04
        39    0.3380000000E+03    0.4097471072E+03    0.3261537819E+04
        40    0.3620000000E+03    0.3737933670E+03    0.2372960592E+04
        41    0.3610000000E+03    0.4105572605E+03    0.3281560321E+04
        42    0.3850000000E+03    0.3951290455E+03    0.2900260338E+04
        43    0.3480000000E+03    0.3647998634E+03    0.2150691017E+04
        44    0.3680000000E+03    0.4114601421E+03    0.3303874550E+04
        45    0.3410000000E+03    0.3625738928E+03    0.2095677358E+04
        46    0.3650000000E+03    0.3783969838E+03    0.2486736489E+04
        47    0.3250000000E+03    0.3915729621E+03    0.2812373661E+04
        48    0.5130000000E+03    0.5071598879E+03    0.5669041969E+04
        49    0.4480000000E+03    0.5008614543E+03    0.5513379592E+04
        50    0.4650000000E+03    0.4794259674E+03    0.4983613136E+04
        51    0.4460000000E+03    0.4419556164E+03    0.4057553693E+04
        52    0.4370000000E+03    0.4344930108E+03    0.3873119434E+04
        53    0.5020000000E+03    0.5119836006E+03    0.5788257419E+04
        54    0.4650000000E+03    0.4746258452E+03    0.4864980713E+04
        55    0.4750000000E+03    0.4940605163E+03    0.5345298092E+04
        56    0.5040000000E+03    0.5127011788E+03    0.5805991976E+04
        57    0.4860000000E+03    0.4662493536E+03    0.4657960257E+04
        58    0.4520000000E+03    0.4827079371E+03    0.5064725241E+04
        59    0.4590000000E+03    0.4682816514E+03    0.4708187398E+04
        60    0.4150000000E+03    0.4630507489E+03    0.4578908474E+04
        61    0.4370000000E+03    0.4452483954E+03    0.4138932943E+04
        62    0.4150000000E+03    0.4141289514E+03    0.3369832728E+04
        63    0.4010000000E+03    0.4079311942E+03    0.3216658513E+04
        64    0.4630000000E+03    0.4722877857E+03    0.4807196839E+04
        65    0.4420000000E+03    0.4412618532E+03    0.4040407711E+04
        66    0.4380000000E+03    0.4574025124E+03    0.4439315365E+04
        67    0.4680000000E+03    0.4728837405E+03    0.4821925539E+04
        68    0.4520000000E+03    0.4343051060E+03    0.3868475468E+04
        69    0.4220000000E+03    0.4479740991E+03    0.4206297234E+04
        70    0.4130000000E+03    0.4294034150E+03    0.3747332827E+04
        71    0.3950000000E+03    0.4252400436E+03    0.3644437357E+04
        72    0.3980000000E+03    0.4110708235E+03    0.3294252751E+04
        73    0.3780000000E+03    0.3863022864E+03    0.2682111763E+04
        74    0.3720000000E+03    0.3813693776E+03    0.2560197592E+04
        75    0.4150000000E+03    0.4325919708E+03    0.3826136260E+04
        76    0.3960000000E+03    0.4078978613E+03    0.3215834708E+04
        77    0.3880000000E+03    0.4207445084E+03    0.3533332637E+04
        78    0.4150000000E+03    0.4330663022E+03    0.3837859103E+04
        79    0.3980000000E+03    0.4023608584E+03    0.3078990678E+04
        80    0.3820000000E+03    0.4132402611E+03    0.3347869227E+04
        81    0.5230000000E+03    0.5235900293E+03    0.6075104022E+04
        82    0.5340000000E+03    0.5309742739E+03    0.6257601630E+04
        83    0.4890000000E+03    0.4808017330E+03    0.5017614439E+04
        84    0.5000000000E+03    0.5438782223E+03    0.6576515731E+04
        85    0.4950000000E+03    0.4451157892E+03    0.4135655651E+04
        86    0.5220000000E+03    0.5450407173E+03    0.6605246165E+04
        87    0.5310000000E+03    0.5262854594E+03    0.6141720118E+04
        88    0.5330000000E+03    0.5370415837E+03    0.6407551909E+04
        89    0.4920000000E+03    0.5324931050E+03    0.6295138718E+04
        90    0.5050000000E+03    0.5142991898E+03    0.5845485953E+04
        91    0.5410000000E+03    0.5233961474E+03    0.6070312335E+04
        92    0.4680000000E+03    0.4788969863E+03    0.4970539654E+04
        93    0.4590000000E+03    0.4849386410E+03    0.5119855879E+04
        94    0.4440000000E+03    0.4438883802E+03    0.4105320904E+04
        95    0.4580000000E+03    0.4954964169E+03    0.5380785598E+04
        96    0.4450000000E+03    0.4146907898E+03    0.3383718260E+04
        97    0.4640000000E+03    0.4964475492E+03    0.5404292317E+04
        98    0.4660000000E+03    0.4811023382E+03    0.5025043733E+04
        99    0.4860000000E+03    0.4899028036E+03    0.5242542471E+04
       100    0.4610000000E+03    0.4861813209E+03    0.5150568042E+04
       101    0.4640000000E+03    0.4712953904E+03    0.4782670325E+04
       102    0.4750000000E+03    0.4787383556E+03    0.4966619183E+04
       103    0.4190000000E+03    0.4342039433E+03    0.3865975287E+04
       104    0.4180000000E+03    0.4389030080E+03    0.3982110128E+04
       105    0.4020000000E+03    0.4069750275E+03    0.3193027370E+04
       106    0.3980000000E+03    0.4471146116E+03    0.4185055465E+04
       107    0.4110000000E+03    0.3842657905E+03    0.2631780869E+04
       108    0.4280000000E+03    0.4478543811E+03    0.4203338468E+04
