     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2073453103E+03    0.0000000000E+00   -0.9209100758E+01
         2    0.2350000000E+03    0.2056114869E+03    0.0000000000E+00   -0.9340659341E+01
         3    0.2350000000E+03    0.2364478742E+03    0.0000000000E+00   -0.7000864304E+01
         4    0.2410000000E+03    0.2173878062E+03    0.0000000000E+00   -0.8447098976E+01
         5    0.2250000000E+03    0.1947723073E+03    0.0000000000E+00   -0.1016311167E+02
         6    0.2450000000E+03    0.2177732826E+03    0.0000000000E+00   -0.8417849899E+01
         7    0.2550000000E+03    0.2356955431E+03    0.0000000000E+00   -0.7057949480E+01
         8    0.2450000000E+03    0.2261328704E+03    0.0000000000E+00   -0.7783543365E+01
         9    0.2750000000E+03    0.2349230511E+03    0.0000000000E+00   -0.7116564417E+01
        10    0.2390000000E+03    0.2313304535E+03    0.0000000000E+00   -0.7389162562E+01
        11    0.2550000000E+03    0.2312373583E+03    0.0000000000E+00   -0.7396226415E+01
        12    0.3970000000E+03    0.4250466645E+03    0.7030800000E+04   -0.9405940594E+01
        13    0.4190000000E+03    0.4688257393E+03    0.7068600000E+04   -0.6173952231E+01
        14    0.4010000000E+03    0.4395668341E+03    0.6709500000E+04   -0.7540301612E+01
        15    0.3940000000E+03    0.4654604183E+03    0.7238700000E+04   -0.6833712984E+01
        16    0.4260000000E+03    0.4131422921E+03    0.6596100000E+04   -0.9275730623E+01
        17    0.4260000000E+03    0.4888945685E+03    0.7749000000E+04   -0.6268806419E+01
        18    0.4540000000E+03    0.4377461504E+03    0.6482700000E+04   -0.7139240506E+01
        19    0.4180000000E+03    0.4306576884E+03    0.6407100000E+04   -0.7497360084E+01
        20    0.4160000000E+03    0.4695116375E+03    0.7371000000E+04   -0.6840855107E+01
        21    0.3950000000E+03    0.4462858391E+03    0.7049700000E+04   -0.7839294463E+01
        22    0.4330000000E+03    0.4526451002E+03    0.7371000000E+04   -0.8120649652E+01
        23    0.3790000000E+03    0.4156398842E+03    0.6369300000E+04   -0.8547008547E+01
        24    0.3820000000E+03    0.3900791207E+03    0.5914800000E+04   -0.9405940594E+01
        25    0.3850000000E+03    0.4336701980E+03    0.5946600000E+04   -0.6173952231E+01
        26    0.3650000000E+03    0.4061972696E+03    0.5644500000E+04   -0.7540301612E+01
        27    0.3790000000E+03    0.4294588881E+03    0.6089700000E+04   -0.6833712984E+01
        28    0.3770000000E+03    0.3803367201E+03    0.5549100000E+04   -0.9275730623E+01
        29    0.3940000000E+03    0.4503550713E+03    0.6519000000E+04   -0.6268806419E+01
        30    0.4250000000E+03    0.4055045710E+03    0.5453700000E+04   -0.7139240506E+01
        31    0.3950000000E+03    0.3987921042E+03    0.5390100000E+04   -0.7497360084E+01
        32    0.3930000000E+03    0.4328521158E+03    0.6201000000E+04   -0.6840855107E+01
        33    0.3750000000E+03    0.4112242966E+03    0.5930700000E+04   -0.7839294463E+01
        34    0.3890000000E+03    0.4159855785E+03    0.6201000000E+04   -0.8120649652E+01
        35    0.3580000000E+03    0.3839622976E+03    0.5358300000E+04   -0.8547008547E+01
        36    0.3440000000E+03    0.3551115770E+03    0.4798800000E+04   -0.9405940594E+01
        37    0.3690000000E+03    0.3985146567E+03    0.4824600000E+04   -0.6173952231E+01
        38    0.3250000000E+03    0.3728277050E+03    0.4579500000E+04   -0.7540301612E+01
        39    0.3380000000E+03    0.3934573578E+03    0.4940700000E+04   -0.6833712984E+01
        40    0.3620000000E+03    0.3475311482E+03    0.4502100000E+04   -0.9275730623E+01
        41    0.3610000000E+03    0.4118155742E+03    0.5289000000E+04   -0.6268806419E+01
        42    0.3850000000E+03    0.3732629917E+03    0.4424700000E+04   -0.7139240506E+01
        43    0.3480000000E+03    0.3669265199E+03    0.4373100000E+04   -0.7497360084E+01
        44    0.3680000000E+03    0.3961925942E+03    0.5031000000E+04   -0.6840855107E+01
        45    0.3410000000E+03    0.3761627540E+03    0.4811700000E+04   -0.7839294463E+01
        46    0.3650000000E+03    0.3793260569E+03    0.5031000000E+04   -0.8120649652E+01
        47    0.3250000000E+03    0.3522847109E+03    0.4347300000E+04   -0.8547008547E+01
        48    0.5130000000E+03    0.4915361817E+03    0.8248200000E+04   -0.7255200406E+01
        49    0.4480000000E+03    0.4953955029E+03    0.8301300000E+04   -0.7088607595E+01
        50    0.4650000000E+03    0.4785140969E+03    0.8124300000E+04   -0.7948717949E+01
        51    0.4460000000E+03    0.4774135700E+03    0.8159700000E+04   -0.8116385911E+01
        52    0.4370000000E+03    0.4551593073E+03    0.7788000000E+04   -0.8921282799E+01
        53    0.5020000000E+03    0.5099129853E+03    0.8885400000E+04   -0.7375734901E+01
        54    0.4650000000E+03    0.4922966656E+03    0.8496000000E+04   -0.7786633967E+01
        55    0.4750000000E+03    0.4655735435E+03    0.7894200000E+04   -0.8383561644E+01
        56    0.5040000000E+03    0.5186291735E+03    0.9080100000E+04   -0.7177263969E+01
        57    0.4860000000E+03    0.4899363263E+03    0.8407500000E+04   -0.7755324959E+01
        58    0.4520000000E+03    0.4737241977E+03    0.7611000000E+04   -0.7091808686E+01
        59    0.4590000000E+03    0.4477327533E+03    0.6850200000E+04   -0.7255200406E+01
        60    0.4150000000E+03    0.4513100782E+03    0.6894300000E+04   -0.7088607595E+01
        61    0.4370000000E+03    0.4353686599E+03    0.6747300000E+04   -0.7948717949E+01
        62    0.4150000000E+03    0.4340801354E+03    0.6776700000E+04   -0.8116385911E+01
        63    0.4010000000E+03    0.4137998470E+03    0.6468000000E+04   -0.8921282799E+01
        64    0.4630000000E+03    0.4627256010E+03    0.7379400000E+04   -0.7375734901E+01
        65    0.4420000000E+03    0.4471772543E+03    0.7056000000E+04   -0.7786633967E+01
        66    0.4380000000E+03    0.4236500905E+03    0.6556200000E+04   -0.8383561644E+01
        67    0.4680000000E+03    0.4704078027E+03    0.7541100000E+04   -0.7177263969E+01
        68    0.4520000000E+03    0.4452869088E+03    0.6982500000E+04   -0.7755324959E+01
        69    0.4220000000E+03    0.4333047250E+03    0.6321000000E+04   -0.7091808686E+01
        70    0.4130000000E+03    0.4039293248E+03    0.5452200000E+04   -0.7255200406E+01
        71    0.3950000000E+03    0.4072246534E+03    0.5487300000E+04   -0.7088607595E+01
        72    0.3980000000E+03    0.3922232229E+03    0.5370300000E+04   -0.7948717949E+01
        73    0.3780000000E+03    0.3907467009E+03    0.5393700000E+04   -0.8116385911E+01
        74    0.3720000000E+03    0.3724403866E+03    0.5148000000E+04   -0.8921282799E+01
        75    0.4150000000E+03    0.4155382167E+03    0.5873400000E+04   -0.7375734901E+01
        76    0.3960000000E+03    0.4020578430E+03    0.5616000000E+04   -0.7786633967E+01
        77    0.3880000000E+03    0.3817266375E+03    0.5218200000E+04   -0.8383561644E+01
        78    0.4150000000E+03    0.4221864319E+03    0.6002100000E+04   -0.7177263969E+01
        79    0.3980000000E+03    0.4006374914E+03    0.5557500000E+04   -0.7755324959E+01
        80    0.3820000000E+03    0.3928852524E+03    0.5031000000E+04   -0.7091808686E+01
        81    0.5230000000E+03    0.5121405548E+03    0.9273000000E+04   -0.8128219805E+01
