     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2161075705E+03    0.1838077703E+02   -0.2694147296E+01
         2    0.2350000000E+03    0.1709361084E+03    0.2008298850E+02   -0.3362257694E+01
         3    0.2350000000E+03    0.2138613714E+03    0.2008298850E+02   -0.2749702570E+01
         4    0.2410000000E+03    0.2166087696E+03    0.1889881575E+02   -0.2694147296E+01
         5    0.2250000000E+03    0.1728336778E+03    0.1783176586E+02   -0.3304097594E+01
         6    0.2450000000E+03    0.2131908245E+03    0.1938991221E+02   -0.2749702570E+01
         7    0.2550000000E+03    0.2316053575E+03    0.2008298850E+02   -0.2496491085E+01
         8    0.2450000000E+03    0.2259368103E+03    0.1938991221E+02   -0.2567813903E+01
         9    0.2750000000E+03    0.2069556474E+03    0.2073126969E+02   -0.2857199547E+01
        10    0.2390000000E+03    0.1688521455E+03    0.1962639786E+02   -0.3385692537E+01
        11    0.2550000000E+03    0.1867579736E+03    0.1985731784E+02   -0.3133359696E+01
        12    0.3970000000E+03    0.4274086014E+03    0.1720491060E+03   -0.1800430090E+01
        13    0.4190000000E+03    0.4641159750E+03    0.2099897954E+03   -0.1800430090E+01
        14    0.4010000000E+03    0.4359087008E+03    0.1864507797E+03   -0.1877966571E+01
        15    0.3940000000E+03    0.4515403340E+03    0.2064299586E+03   -0.1930739377E+01
        16    0.4260000000E+03    0.4211351918E+03    0.1771122528E+03   -0.1959857150E+01
        17    0.4260000000E+03    0.4669763629E+03    0.2064299586E+03   -0.1710463066E+01
        18    0.4540000000E+03    0.4459326963E+03    0.2027429184E+03   -0.1959857150E+01
        19    0.4180000000E+03    0.4217291313E+03    0.1864507797E+03   -0.2080312866E+01
        20    0.4160000000E+03    0.4707167225E+03    0.2064299586E+03   -0.1657087122E+01
        21    0.3950000000E+03    0.4330576546E+03    0.1819013725E+03   -0.1855840858E+01
        22    0.4330000000E+03    0.4453382751E+03    0.1819013725E+03   -0.1680593078E+01
        23    0.3790000000E+03    0.4171415261E+03    0.1928851344E+03   -0.2234614479E+01
        24    0.3820000000E+03    0.3982057230E+03    0.1418650523E+03   -0.1800430090E+01
        25    0.3850000000E+03    0.4284732065E+03    0.1731494804E+03   -0.1800430090E+01
        26    0.3650000000E+03    0.4042613441E+03    0.1537401166E+03   -0.1877966571E+01
        27    0.3790000000E+03    0.4165017970E+03    0.1702141764E+03   -0.1930739377E+01
        28    0.3770000000E+03    0.3910729166E+03    0.1460399278E+03   -0.1959857150E+01
        29    0.3940000000E+03    0.4319378259E+03    0.1702141764E+03   -0.1710463066E+01
        30    0.4250000000E+03    0.4115199817E+03    0.1671739853E+03   -0.1959857150E+01
        31    0.3950000000E+03    0.3900817746E+03    0.1537401166E+03   -0.2080312866E+01
        32    0.3930000000E+03    0.4356781855E+03    0.1702141764E+03   -0.1657087122E+01
        33    0.3750000000E+03    0.4021824947E+03    0.1499888510E+03   -0.1855840858E+01
        34    0.3890000000E+03    0.4144631153E+03    0.1499888510E+03   -0.1680593078E+01
        35    0.3580000000E+03    0.3844020296E+03    0.1590456371E+03   -0.2234614479E+01
        36    0.3440000000E+03    0.3690028447E+03    0.1116809986E+03   -0.1800430090E+01
        37    0.3690000000E+03    0.3928304381E+03    0.1363091654E+03   -0.1800430090E+01
        38    0.3250000000E+03    0.3726139874E+03    0.1210294535E+03   -0.1877966571E+01
        39    0.3380000000E+03    0.3814632601E+03    0.1339983942E+03   -0.1930739377E+01
        40    0.3620000000E+03    0.3610106414E+03    0.1149676027E+03   -0.1959857150E+01
        41    0.3610000000E+03    0.3968992889E+03    0.1339983942E+03   -0.1710463066E+01
        42    0.3850000000E+03    0.3771072672E+03    0.1316050523E+03   -0.1959857150E+01
        43    0.3480000000E+03    0.3584344179E+03    0.1210294535E+03   -0.2080312866E+01
