     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
        65    0.4420000000E+03    0.4726705799E+03    0.1721300621E+01    0.1010500000E+03
        66    0.4380000000E+03    0.4459125019E+03    0.1574060917E+01    0.9245000000E+02
        67    0.4680000000E+03    0.4705651133E+03    0.1488805553E+01    0.1053500000E+03
        68    0.4520000000E+03    0.4612736513E+03    0.1686865331E+01    0.9675000000E+02
        69    0.4220000000E+03    0.4367724202E+03    0.1488805553E+01    0.9030000000E+02
        70    0.4130000000E+03    0.4089369632E+03    0.1650963624E+01    0.7425000000E+02
        71    0.3950000000E+03    0.4029506164E+03    0.1532618865E+01    0.7425000000E+02
        72    0.3980000000E+03    0.4141697233E+03    0.1754410643E+01    0.7425000000E+02
        73    0.3780000000E+03    0.3796240168E+03    0.1144714243E+01    0.7260000000E+02
        74    0.3720000000E+03    0.3631484199E+03    0.9654893846E+00    0.6930000000E+02
        75    0.4150000000E+03    0.4140651566E+03    0.1532618865E+01    0.7920000000E+02
        76    0.3960000000E+03    0.4199045807E+03    0.1721300621E+01    0.7755000000E+02
        77    0.3880000000E+03    0.3976372261E+03    0.1574060917E+01    0.7095000000E+02
        78    0.4150000000E+03    0.4155537524E+03    0.1488805553E+01    0.8085000000E+02
        79    0.3980000000E+03    0.4107530138E+03    0.1686865331E+01    0.7425000000E+02
        80    0.3820000000E+03    0.3896198252E+03    0.1488805553E+01    0.6930000000E+02
        81    0.5230000000E+03    0.5342237602E+03    0.1442249570E+01    0.1347500000E+03
        82    0.5340000000E+03    0.5373815401E+03    0.1613428646E+01    0.1323000000E+03
        83    0.4890000000E+03    0.5124907963E+03    0.1338865900E+01    0.1274000000E+03
        84    0.5000000000E+03    0.5538404042E+03    0.1721300621E+01    0.1372000000E+03
        85    0.4950000000E+03    0.4984320924E+03    0.8434326653E+00    0.1323000000E+03
        86    0.5220000000E+03    0.5518935726E+03    0.1574060917E+01    0.1396500000E+03
        87    0.5310000000E+03    0.5318804040E+03    0.1613428646E+01    0.1298500000E+03
        88    0.5330000000E+03    0.5497972694E+03    0.1532618865E+01    0.1396500000E+03
        89    0.4920000000E+03    0.5463924365E+03    0.1574060917E+01    0.1372000000E+03
        90    0.5050000000E+03    0.5222915890E+03    0.1532618865E+01    0.1274000000E+03
        91    0.5410000000E+03    0.5410962586E+03    0.1686865331E+01    0.1323000000E+03
        92    0.4680000000E+03    0.4724763144E+03    0.1442249570E+01    0.1072500000E+03
        93    0.4590000000E+03    0.4767567750E+03    0.1613428646E+01    0.1053000000E+03
        94    0.4440000000E+03    0.4541113930E+03    0.1338865900E+01    0.1014000000E+03
        95    0.4580000000E+03    0.4909702775E+03    0.1721300621E+01    0.1092000000E+03
        96    0.4450000000E+03    0.4378073274E+03    0.8434326653E+00    0.1053000000E+03
        97    0.4640000000E+03    0.4879007651E+03    0.1574060917E+01    0.1111500000E+03
        98    0.4660000000E+03    0.4723783198E+03    0.1613428646E+01    0.1033500000E+03
        99    0.4860000000E+03    0.4858044619E+03    0.1532618865E+01    0.1111500000E+03
       100    0.4610000000E+03    0.4835223098E+03    0.1574060917E+01    0.1092000000E+03
       101    0.4640000000E+03    0.4639121856E+03    0.1532618865E+01    0.1014000000E+03
       102    0.4750000000E+03    0.4804714936E+03    0.1686865331E+01    0.1053000000E+03
       103    0.4190000000E+03    0.4107288685E+03    0.1442249570E+01    0.7975000000E+02
       104    0.4180000000E+03    0.4161320100E+03    0.1613428646E+01    0.7830000000E+02
       105    0.4020000000E+03    0.3957319896E+03    0.1338865900E+01    0.7540000000E+02
       106    0.3980000000E+03    0.4281001508E+03    0.1721300621E+01    0.8120000000E+02
       107    0.4110000000E+03    0.3771825624E+03    0.8434326653E+00    0.7830000000E+02
       108    0.4280000000E+03    0.4239079576E+03    0.1574060917E+01    0.8265000000E+02
       109    0.4150000000E+03    0.4128762356E+03    0.1613428646E+01    0.7685000000E+02
       110    0.4250000000E+03    0.4218116544E+03    0.1532618865E+01    0.8265000000E+02
       111    0.4120000000E+03    0.4206521831E+03    0.1574060917E+01    0.8120000000E+02
       112    0.4100000000E+03    0.4055327823E+03    0.1532618865E+01    0.7540000000E+02
       113    0.4150000000E+03    0.4198467285E+03    0.1686865331E+01    0.7830000000E+02
       114    0.5820000000E+03    0.5888923863E+03    0.3255415036E+01    0.1182500000E+03
       115    0.5240000000E+03    0.5741670770E+03    0.3086377968E+01    0.1155000000E+03
       116    0.5830000000E+03    0.5713172904E+03    0.3274178649E+01    0.1100000000E+03
       117    0.5690000000E+03    0.5798024823E+03    0.3197784925E+01    0.1155000000E+03
       118    0.5360000000E+03    0.5587660926E+03    0.3148121833E+01    0.1072500000E+03
       119    0.5770000000E+03    0.5812730779E+03    0.3226857292E+01    0.1155000000E+03
       120    0.5650000000E+03    0.5741670770E+03    0.3086377968E+01    0.1155000000E+03
       121    0.5620000000E+03    0.5698894528E+03    0.3245951567E+01    0.1100000000E+03
       122    0.5220000000E+03    0.5406171104E+03    0.3255415036E+01    0.9675000000E+02
       123    0.5040000000E+03    0.5270144820E+03    0.3086377968E+01    0.9450000000E+02
       124    0.5160000000E+03    0.5264100571E+03    0.3274178649E+01    0.9000000000E+02
       125    0.5170000000E+03    0.5326498873E+03    0.3197784925E+01    0.9450000000E+02
       126    0.5110000000E+03    0.5149815401E+03    0.3148121833E+01    0.8775000000E+02
       127    0.5180000000E+03    0.5341204829E+03    0.3226857292E+01    0.9450000000E+02
       128    0.5240000000E+03    0.5270144820E+03    0.3086377968E+01    0.9450000000E+02
       129    0.5030000000E+03    0.5249822194E+03    0.3245951567E+01    0.9000000000E+02
       130    0.4830000000E+03    0.4923418346E+03    0.3255415036E+01    0.7525000000E+02
       131    0.4570000000E+03    0.4798618870E+03    0.3086377968E+01    0.7350000000E+02
       132    0.4820000000E+03    0.4815028237E+03    0.3274178649E+01    0.7000000000E+02
       133    0.4700000000E+03    0.4854972923E+03    0.3197784925E+01    0.7350000000E+02
       134    0.4590000000E+03    0.4711969876E+03    0.3148121833E+01    0.6825000000E+02
       135    0.4900000000E+03    0.4869678878E+03    0.3226857292E+01    0.7350000000E+02
       136    0.4850000000E+03    0.4798618870E+03    0.3086377968E+01    0.7350000000E+02
       137    0.4830000000E+03    0.4800749861E+03    0.3245951567E+01    0.7000000000E+02
       138    0.5870000000E+03    0.5412561822E+03    0.3168174105E+01    0.9900000000E+02
       139    0.5710000000E+03    0.5345758861E+03    0.3158179799E+01    0.9625000000E+02
       140    0.5780000000E+03    0.5412561822E+03    0.3168174105E+01    0.9900000000E+02
       141    0.5260000000E+03    0.5402418589E+03    0.3148121833E+01    0.9900000000E+02
       142    0.5350000000E+03    0.5323594778E+03    0.3236432592E+01    0.9350000000E+02
       143    0.5720000000E+03    0.5392144465E+03    0.3127810804E+01    0.9900000000E+02
       144    0.5620000000E+03    0.5508837116E+03    0.3236432592E+01    0.1017500000E+03
       145    0.5630000000E+03    0.5355838197E+03    0.3178105751E+01    0.9625000000E+02
       146    0.5830000000E+03    0.5360830812E+03    0.3187975708E+01    0.9625000000E+02
       147    0.5850000000E+03    0.5212055815E+03    0.3137999185E+01    0.9075000000E+02
       148    0.5920000000E+03    0.5325209538E+03    0.3117555613E+01    0.9625000000E+02
       149    0.5730000000E+03    0.5508837116E+03    0.3236432592E+01    0.1017500000E+03
       150    0.5360000000E+03    0.5575399636E+03    0.3245951567E+01    0.1045000000E+03
       151    0.5570000000E+03    0.5337956177E+03    0.3264823802E+01    0.9350000000E+02
       152    0.5520000000E+03    0.5008396722E+03    0.3168174105E+01    0.8100000000E+02
       153    0.5190000000E+03    0.4952820569E+03    0.3158179799E+01    0.7875000000E+02
       154    0.5240000000E+03    0.5008396722E+03    0.3168174105E+01    0.8100000000E+02
       155    0.5080000000E+03    0.4998253489E+03    0.3148121833E+01    0.8100000000E+02
       156    0.4900000000E+03    0.4941883295E+03    0.3236432592E+01    0.7650000000E+02
       157    0.5500000000E+03    0.4987979365E+03    0.3127810804E+01    0.8100000000E+02
       158    0.5150000000E+03    0.5093445207E+03    0.3236432592E+01    0.8325000000E+02
       159    0.5300000000E+03    0.4962899905E+03    0.3178105751E+01    0.7875000000E+02
       160    0.5460000000E+03    0.4967892520E+03    0.3187975708E+01    0.7875000000E+02
       161    0.5350000000E+03    0.4841571140E+03    0.3137999185E+01    0.7425000000E+02
       162    0.5500000000E+03    0.4932271246E+03    0.3117555613E+01    0.7875000000E+02
       163    0.5420000000E+03    0.5093445207E+03    0.3236432592E+01    0.8325000000E+02
       164    0.5920000000E+03    0.5148780919E+03    0.3245951567E+01    0.8550000000E+02
       165    0.5240000000E+03    0.4956244694E+03    0.3264823802E+01    0.7650000000E+02
       166    0.4970000000E+03    0.4604231622E+03    0.3168174105E+01    0.6300000000E+02
       167    0.4910000000E+03    0.4559882277E+03    0.3158179799E+01    0.6125000000E+02
       168    0.4630000000E+03    0.4604231622E+03    0.3168174105E+01    0.6300000000E+02
       169    0.4640000000E+03    0.4594088388E+03    0.3148121833E+01    0.6300000000E+02
       170    0.4590000000E+03    0.4560171811E+03    0.3236432592E+01    0.5950000000E+02
       171    0.4890000000E+03    0.4583814265E+03    0.3127810804E+01    0.6300000000E+02
       172    0.4770000000E+03    0.4678053299E+03    0.3236432592E+01    0.6475000000E+02
       173    0.4690000000E+03    0.4569961613E+03    0.3178105751E+01    0.6125000000E+02
       174    0.4960000000E+03    0.4574954228E+03    0.3187975708E+01    0.6125000000E+02
       175    0.4670000000E+03    0.4471086464E+03    0.3137999185E+01    0.5775000000E+02
       176    0.5110000000E+03    0.4539332954E+03    0.3117555613E+01    0.6125000000E+02
       177    0.4900000000E+03    0.4678053299E+03    0.3236432592E+01    0.6475000000E+02
       178    0.5230000000E+03    0.4722162203E+03    0.3245951567E+01    0.6650000000E+02
       179    0.4760000000E+03    0.4574533210E+03    0.3264823802E+01    0.5950000000E+02
       180    0.6100000000E+03    0.5741209013E+03    0.3207534330E+01    0.1127500000E+03
       181    0.5810000000E+03    0.5597804160E+03    0.3168174105E+01    0.1072500000E+03
       182    0.6250000000E+03    0.5859772269E+03    0.3197784925E+01    0.1182500000E+03
       183    0.5620000000E+03    0.5644287936E+03    0.3137999185E+01    0.1100000000E+03
       184    0.6350000000E+03    0.5716243536E+03    0.3158179799E+01    0.1127500000E+03
       185    0.5660000000E+03    0.5711155818E+03    0.3148121833E+01    0.1127500000E+03
       186    0.6380000000E+03    0.5651425458E+03    0.3274178649E+01    0.1072500000E+03
       187    0.6060000000E+03    0.5453891911E+03    0.3127810804E+01    0.1017500000E+03
       188    0.5820000000E+03    0.5859932201E+03    0.3320170311E+01    0.1155000000E+03
       189    0.6340000000E+03    0.5807858295E+03    0.3217224825E+01    0.1155000000E+03
       190    0.5850000000E+03    0.5698894528E+03    0.3245951567E+01    0.1100000000E+03
       191    0.6030000000E+03    0.5694079453E+03    0.3236432592E+01    0.1100000000E+03
       192    0.6250000000E+03    0.5618175879E+03    0.3086377968E+01    0.1100000000E+03
       193    0.6310000000E+03    0.5727209246E+03    0.3301927249E+01    0.1100000000E+03
       194    0.6250000000E+03    0.5911565209E+03    0.3178105751E+01    0.1210000000E+03
       195    0.5510000000E+03    0.5280909871E+03    0.3207534330E+01    0.9225000000E+02
       196    0.5390000000E+03    0.5159958635E+03    0.3168174105E+01    0.8775000000E+02
       197    0.5640000000E+03    0.5377019511E+03    0.3197784925E+01    0.9675000000E+02
       198    0.5500000000E+03    0.5195215602E+03    0.3137999185E+01    0.9000000000E+02
       199    0.5900000000E+03    0.5255944394E+03    0.3158179799E+01    0.9225000000E+02
       200    0.5270000000E+03    0.5250856676E+03    0.3148121833E+01    0.9225000000E+02
       201    0.5570000000E+03    0.5213579933E+03    0.3274178649E+01    0.8775000000E+02
       202    0.5510000000E+03    0.5038500003E+03    0.3127810804E+01    0.8325000000E+02
       203    0.5830000000E+03    0.5388406251E+03    0.3320170311E+01    0.9450000000E+02
       204    0.5700000000E+03    0.5336332345E+03    0.3217224825E+01    0.9450000000E+02
       205    0.5430000000E+03    0.5249822194E+03    0.3245951567E+01    0.9000000000E+02
       206    0.5430000000E+03    0.5245007120E+03    0.3236432592E+01    0.9000000000E+02
       207    0.5630000000E+03    0.5169103545E+03    0.3086377968E+01    0.9000000000E+02
       208    0.5770000000E+03    0.5278136912E+03    0.3301927249E+01    0.9000000000E+02
       209    0.5780000000E+03    0.5417585642E+03    0.3178105751E+01    0.9900000000E+02
       210    0.4900000000E+03    0.4820610729E+03    0.3207534330E+01    0.7175000000E+02
       211    0.4960000000E+03    0.4722113110E+03    0.3168174105E+01    0.6825000000E+02
       212    0.5110000000E+03    0.4894266752E+03    0.3197784925E+01    0.7525000000E+02
       213    0.4940000000E+03    0.4746143269E+03    0.3137999185E+01    0.7000000000E+02
       214    0.5170000000E+03    0.4795645252E+03    0.3158179799E+01    0.7175000000E+02
       215    0.4800000000E+03    0.4790557534E+03    0.3148121833E+01    0.7175000000E+02
       216    0.5020000000E+03    0.4775734408E+03    0.3274178649E+01    0.6825000000E+02
       217    0.5040000000E+03    0.4623108094E+03    0.3127810804E+01    0.6475000000E+02
       218    0.5050000000E+03    0.4916880301E+03    0.3320170311E+01    0.7350000000E+02
       219    0.5020000000E+03    0.4864806395E+03    0.3217224825E+01    0.7350000000E+02
       220    0.4960000000E+03    0.4800749861E+03    0.3245951567E+01    0.7000000000E+02
       221    0.5010000000E+03    0.4795934786E+03    0.3236432592E+01    0.7000000000E+02
       222    0.5170000000E+03    0.4720031212E+03    0.3086377968E+01    0.7000000000E+02
       223    0.5230000000E+03    0.4829064579E+03    0.3301927249E+01    0.7000000000E+02
