     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2320000000E+03    0.2620229814E+03    0.0000000000E+00    0.6916258741E+03    0.9838998211E+00
         2    0.2350000000E+03    0.2515541196E+03    0.0000000000E+00    0.6213176471E+03    0.8311111111E+00
         3    0.2350000000E+03    0.2712257118E+03    0.0000000000E+00    0.9030384615E+03    0.9681050657E+00
         4    0.2410000000E+03    0.2651100829E+03    0.0000000000E+00    0.7603846154E+03    0.9807692308E+00
         5    0.2250000000E+03    0.2634896749E+03    0.0000000000E+00    0.7288636364E+03    0.9778270510E+00
         6    0.2450000000E+03    0.2624646315E+03    0.0000000000E+00    0.7188461538E+03    0.9660107335E+00
         7    0.2550000000E+03    0.2672051478E+03    0.0000000000E+00    0.8183928571E+03    0.9672619048E+00
         8    0.2450000000E+03    0.2665610177E+03    0.0000000000E+00    0.7908730159E+03    0.9811320755E+00
         9    0.2750000000E+03    0.2619694927E+03    0.0000000000E+00    0.7458888889E+03    0.9283154122E+00
        10    0.2390000000E+03    0.2757845496E+03    0.0000000000E+00    0.1018517787E+04    0.9494949495E+00
        11    0.2550000000E+03    0.2744553156E+03    0.0000000000E+00    0.9641847826E+03    0.9756521739E+00
        12    0.3970000000E+03    0.4049835488E+03   -0.5819016862E+03    0.4903636364E+03    0.9842105263E+00
        13    0.4190000000E+03    0.4545292961E+03   -0.7297044054E+03    0.7201785714E+03    0.9847358121E+00
        14    0.4010000000E+03    0.4171461739E+03   -0.6019811694E+03    0.6374705882E+03    0.9838839645E+00
        15    0.3940000000E+03    0.4539862789E+03   -0.7659580467E+03    0.6129830918E+03    0.8781362007E+00
        16    0.4260000000E+03    0.4121056821E+03   -0.6073449651E+03    0.5015071770E+03    0.9828009828E+00
        17    0.4260000000E+03    0.4622477070E+03   -0.7831484498E+03    0.6501315789E+03    0.9210526316E+00
        18    0.4540000000E+03    0.4391943049E+03   -0.6880070108E+03    0.6284382284E+03    0.9826262626E+00
        19    0.4180000000E+03    0.4088942769E+03   -0.5665705123E+03    0.6791282895E+03    0.9639084507E+00
        20    0.4160000000E+03    0.4623256051E+03   -0.7795982780E+03    0.6072162162E+03    0.9856089856E+00
        21    0.3950000000E+03    0.4083479937E+03   -0.5819016862E+03    0.5969875776E+03    0.9490054250E+00
        22    0.4330000000E+03    0.4258958958E+03   -0.6550971549E+03    0.5385810811E+03    0.9729729730E+00
        23    0.3790000000E+03    0.4263282276E+03   -0.6671583135E+03    0.5553033088E+03    0.8980263158E+00
        24    0.3820000000E+03    0.3807912092E+03   -0.4895363392E+03    0.4903636364E+03    0.9842105263E+00
        25    0.3850000000E+03    0.4241921151E+03   -0.6138783093E+03    0.7201785714E+03    0.9847358121E+00
        26    0.3650000000E+03    0.3921190375E+03   -0.5064286028E+03    0.6374705882E+03    0.9838839645E+00
        27    0.3790000000E+03    0.4221418666E+03   -0.6443774044E+03    0.6129830918E+03    0.8781362007E+00
        28    0.3770000000E+03    0.3868555480E+03   -0.5109410024E+03    0.5015071770E+03    0.9828009828E+00
        29    0.3940000000E+03    0.4296886103E+03   -0.6588391720E+03    0.6501315789E+03    0.9210526316E+00
        30    0.4250000000E+03    0.4105906771E+03   -0.5787995488E+03    0.6284382284E+03    0.9826262626E+00
        31    0.3950000000E+03    0.3853393250E+03   -0.4766386850E+03    0.6791282895E+03    0.9639084507E+00
        32    0.3930000000E+03    0.4299141055E+03   -0.6558525196E+03    0.6072162162E+03    0.9856089856E+00
        33    0.3750000000E+03    0.3841556541E+03   -0.4895363392E+03    0.5969875776E+03    0.9490054250E+00
        34    0.3890000000E+03    0.3986604826E+03   -0.5511134795E+03    0.5385810811E+03    0.9729729730E+00
        35    0.3580000000E+03    0.3985913764E+03   -0.5612601685E+03    0.5553033088E+03    0.8980263158E+00
        36    0.3440000000E+03    0.3565988696E+03   -0.3971709922E+03    0.4903636364E+03    0.9842105263E+00
        37    0.3690000000E+03    0.3938549341E+03   -0.4980522132E+03    0.7201785714E+03    0.9847358121E+00
        38    0.3250000000E+03    0.3670919011E+03   -0.4108760362E+03    0.6374705882E+03    0.9838839645E+00
        39    0.3380000000E+03    0.3902974544E+03   -0.5227967620E+03    0.6129830918E+03    0.8781362007E+00
        40    0.3620000000E+03    0.3616054138E+03   -0.4145370397E+03    0.5015071770E+03    0.9828009828E+00
        41    0.3610000000E+03    0.3971295136E+03   -0.5345298943E+03    0.6501315789E+03    0.9210526316E+00
        42    0.3850000000E+03    0.3819870493E+03   -0.4695920867E+03    0.6284382284E+03    0.9826262626E+00
        43    0.3480000000E+03    0.3617843731E+03   -0.3867068576E+03    0.6791282895E+03    0.9639084507E+00
        44    0.3680000000E+03    0.3975026059E+03   -0.5321067612E+03    0.6072162162E+03    0.9856089856E+00
        45    0.3410000000E+03    0.3599633145E+03   -0.3971709922E+03    0.5969875776E+03    0.9490054250E+00
        46    0.3650000000E+03    0.3714250694E+03   -0.4471298041E+03    0.5385810811E+03    0.9729729730E+00
        47    0.3250000000E+03    0.3708545252E+03   -0.4553620235E+03    0.5553033088E+03    0.8980263158E+00
