     Index       y_measurement           y_fitting        descriptor_1
        85    0.4950000000E+03    0.4290876126E+03    0.1812896196E+03
        86    0.5220000000E+03    0.4627322360E+03    0.2149426113E+03
        87    0.5310000000E+03    0.4761968835E+03    0.2284106078E+03
        88    0.5330000000E+03    0.4725131133E+03    0.2247259214E+03
        89    0.4920000000E+03    0.4627322360E+03    0.2149426113E+03
        90    0.5050000000E+03    0.4542126770E+03    0.2064209333E+03
        91    0.5410000000E+03    0.4667497831E+03    0.2189611577E+03
        92    0.4680000000E+03    0.4222172485E+03    0.1744175466E+03
        93    0.4590000000E+03    0.4324976342E+03    0.1847004893E+03
        94    0.4440000000E+03    0.4240150471E+03    0.1762157924E+03
        95    0.4580000000E+03    0.4341034066E+03    0.1863066611E+03
        96    0.4450000000E+03    0.3993753931E+03    0.1515700098E+03
        97    0.4640000000E+03    0.4275045045E+03    0.1797061177E+03
        98    0.4660000000E+03    0.4387618327E+03    0.1909662459E+03
        99    0.4860000000E+03    0.4356819592E+03    0.1878856064E+03
       100    0.4610000000E+03    0.4275045045E+03    0.1797061177E+03
       101    0.4640000000E+03    0.4203815945E+03    0.1725814360E+03
       102    0.4750000000E+03    0.4308634373E+03    0.1830658860E+03
       103    0.4190000000E+03    0.3880262337E+03    0.1402180276E+03
       104    0.4180000000E+03    0.3962908576E+03    0.1484847071E+03
       105    0.4020000000E+03    0.3894715228E+03    0.1416636762E+03
       106    0.3980000000E+03    0.3975817727E+03    0.1497759433E+03
       107    0.4110000000E+03    0.3696631735E+03    0.1218504000E+03
       108    0.4280000000E+03    0.3922767729E+03    0.1444696240E+03
       109    0.4150000000E+03    0.4013267818E+03    0.1535218839E+03
       110    0.4250000000E+03    0.3988508052E+03    0.1510452914E+03
       111    0.4120000000E+03    0.3922767729E+03    0.1444696240E+03
       112    0.4100000000E+03    0.3865505120E+03    0.1387419388E+03
       113    0.4150000000E+03    0.3949770915E+03    0.1471706142E+03
       114    0.5820000000E+03    0.6189078827E+03    0.3711571032E+03
       115    0.5240000000E+03    0.6066866446E+03    0.3589328253E+03
       116    0.5830000000E+03    0.6234006292E+03    0.3756509671E+03
       117    0.5690000000E+03    0.6114845865E+03    0.3637319606E+03
       118    0.5360000000E+03    0.6066866446E+03    0.3589328253E+03
       119    0.5770000000E+03    0.6234006292E+03    0.3756509671E+03
       120    0.5650000000E+03    0.6037451716E+03    0.3559906207E+03
       121    0.5620000000E+03    0.6234006292E+03    0.3756509671E+03
       122    0.5220000000E+03    0.5635250754E+03    0.3157605206E+03
       123    0.5040000000E+03    0.5531279027E+03    0.3053607619E+03
       124    0.5160000000E+03    0.5673472627E+03    0.3195836586E+03
       125    0.5170000000E+03    0.5572097339E+03    0.3094436083E+03
       126    0.5110000000E+03    0.5531279027E+03    0.3053607619E+03
       127    0.5180000000E+03    0.5673472627E+03    0.3195836586E+03
       128    0.5240000000E+03    0.5506254554E+03    0.3028576922E+03
       129    0.5030000000E+03    0.5673472627E+03    0.3195836586E+03
       130    0.4830000000E+03    0.5081422681E+03    0.2603639381E+03
       131    0.4570000000E+03    0.4995691607E+03    0.2517886984E+03
       132    0.4820000000E+03    0.5112938962E+03    0.2635163501E+03
       133    0.4700000000E+03    0.5029348812E+03    0.2551552560E+03
       134    0.4590000000E+03    0.4995691607E+03    0.2517886984E+03
       135    0.4900000000E+03    0.5112938962E+03    0.2635163501E+03
       136    0.4850000000E+03    0.4975057394E+03    0.2497247638E+03
       137    0.4830000000E+03    0.5112938962E+03    0.2635163501E+03
       138    0.5870000000E+03    0.6143036255E+03    0.3665517008E+03
       139    0.5710000000E+03    0.6161591536E+03    0.3684076904E+03
       140    0.5780000000E+03    0.6133687731E+03    0.3656166158E+03
       141    0.5260000000E+03    0.6057115214E+03    0.3579574596E+03
       142    0.5350000000E+03    0.6095806694E+03    0.3618275699E+03
       143    0.5720000000E+03    0.6152337324E+03    0.3674820390E+03
       144    0.5620000000E+03    0.6152337324E+03    0.3674820390E+03
       145    0.5630000000E+03    0.6076564969E+03    0.3599029188E+03
       146    0.5830000000E+03    0.6143036255E+03    0.3665517008E+03
       147    0.5850000000E+03    0.6095806694E+03    0.3618275699E+03
       148    0.5920000000E+03    0.6086211487E+03    0.3608678106E+03
       149    0.5730000000E+03    0.6133687731E+03    0.3656166158E+03
       150    0.5360000000E+03    0.6170799476E+03    0.3693287134E+03
       151    0.5570000000E+03    0.6170799476E+03    0.3693287134E+03
       152    0.5520000000E+03    0.5596080207E+03    0.3118424917E+03
       153    0.5190000000E+03    0.5611866043E+03    0.3134214679E+03
       154    0.5240000000E+03    0.5588126986E+03    0.3110469717E+03
       155    0.5080000000E+03    0.5522983203E+03    0.3045309731E+03
       156    0.4900000000E+03    0.5555899834E+03    0.3078234550E+03
       157    0.5500000000E+03    0.5603993057E+03    0.3126339735E+03
       158    0.5150000000E+03    0.5603993057E+03    0.3126339735E+03
       159    0.5300000000E+03    0.5539530008E+03    0.3061860652E+03
       160    0.5460000000E+03    0.5596080207E+03    0.3118424917E+03
       161    0.5350000000E+03    0.5555899834E+03    0.3078234550E+03
       162    0.5500000000E+03    0.5547736748E+03    0.3070069433E+03
       163    0.5420000000E+03    0.5588126986E+03    0.3110469717E+03
       164    0.5920000000E+03    0.5619699665E+03    0.3142050249E+03
       165    0.5240000000E+03    0.5619699665E+03    0.3142050249E+03
       166    0.4970000000E+03    0.5049124159E+03    0.2571332826E+03
       167    0.4910000000E+03    0.5062140551E+03    0.2584352455E+03
       168    0.4630000000E+03    0.5042566239E+03    0.2564773275E+03
       169    0.4640000000E+03    0.4988851191E+03    0.2511044866E+03
       170    0.4590000000E+03    0.5015992975E+03    0.2538193401E+03
       171    0.4890000000E+03    0.5055648790E+03    0.2577859080E+03
       172    0.4770000000E+03    0.5055648790E+03    0.2577859080E+03
       173    0.4690000000E+03    0.5002495048E+03    0.2524692117E+03
       174    0.4960000000E+03    0.5049124159E+03    0.2571332826E+03
       175    0.4670000000E+03    0.5015992975E+03    0.2538193401E+03
       176    0.5110000000E+03    0.5009262009E+03    0.2531460761E+03
       177    0.4900000000E+03    0.5042566239E+03    0.2564773275E+03
       178    0.5230000000E+03    0.5068599852E+03    0.2590813363E+03
       179    0.4760000000E+03    0.5068599852E+03    0.2590813363E+03
       180    0.6100000000E+03    0.6133687731E+03    0.3656166158E+03
       181    0.5810000000E+03    0.6066866446E+03    0.3589328253E+03
       182    0.6250000000E+03    0.6161591536E+03    0.3684076904E+03
       183    0.5620000000E+03    0.6076564969E+03    0.3599029188E+03
       184    0.6350000000E+03    0.6095806694E+03    0.3618275699E+03
       185    0.5660000000E+03    0.6076564969E+03    0.3599029188E+03
       186    0.6380000000E+03    0.6189078827E+03    0.3711571032E+03
       187    0.6060000000E+03    0.6076564969E+03    0.3599029188E+03
       188    0.5820000000E+03    0.6216164808E+03    0.3738663750E+03
       189    0.6340000000E+03    0.6152337324E+03    0.3674820390E+03
       190    0.5850000000E+03    0.6105351266E+03    0.3627822645E+03
       191    0.6030000000E+03    0.6143036255E+03    0.3665517008E+03
       192    0.6250000000E+03    0.5997459331E+03    0.3519903875E+03
       193    0.6310000000E+03    0.6047310550E+03    0.3569767493E+03
       194    0.6250000000E+03    0.6143036255E+03    0.3665517008E+03
       195    0.5510000000E+03    0.5588126986E+03    0.3110469717E+03
       196    0.5390000000E+03    0.5531279027E+03    0.3053607619E+03
       197    0.5640000000E+03    0.5611866043E+03    0.3134214679E+03
       198    0.5500000000E+03    0.5539530008E+03    0.3061860652E+03
       199    0.5900000000E+03    0.5555899834E+03    0.3078234550E+03
       200    0.5270000000E+03    0.5539530008E+03    0.3061860652E+03
       201    0.5570000000E+03    0.5635250754E+03    0.3157605206E+03
       202    0.5510000000E+03    0.5539530008E+03    0.3061860652E+03
       203    0.5830000000E+03    0.5658294051E+03    0.3180654235E+03
       204    0.5700000000E+03    0.5603993057E+03    0.3126339735E+03
       205    0.5430000000E+03    0.5564019844E+03    0.3086356579E+03
       206    0.5430000000E+03    0.5596080207E+03    0.3118424917E+03
       207    0.5630000000E+03    0.5472231182E+03    0.2994545087E+03
       208    0.5770000000E+03    0.5514641921E+03    0.3036966375E+03
       209    0.5780000000E+03    0.5596080207E+03    0.3118424917E+03
       210    0.4900000000E+03    0.5042566239E+03    0.2564773275E+03
       211    0.4960000000E+03    0.4995691607E+03    0.2517886984E+03
       212    0.5110000000E+03    0.5062140551E+03    0.2584352455E+03
       213    0.4940000000E+03    0.5002495048E+03    0.2524692117E+03
       214    0.5170000000E+03    0.5015992975E+03    0.2538193401E+03
       215    0.4800000000E+03    0.5002495048E+03    0.2524692117E+03
       216    0.5020000000E+03    0.5081422681E+03    0.2603639381E+03
       217    0.5040000000E+03    0.5002495048E+03    0.2524692117E+03
       218    0.5050000000E+03    0.5100423294E+03    0.2622644720E+03
       219    0.5020000000E+03    0.5055648790E+03    0.2577859080E+03
       220    0.4960000000E+03    0.5022688421E+03    0.2544890512E+03
       221    0.5010000000E+03    0.5049124159E+03    0.2571332826E+03
       222    0.5170000000E+03    0.4947003034E+03    0.2469186300E+03
       223    0.5230000000E+03    0.4981973292E+03    0.2504165256E+03
       224    0.5160000000E+03    0.5049124159E+03    0.2571332826E+03
       225    0.4860000000E+03    0.4768233287E+03    0.2290372088E+03
       226    0.4270000000E+03    0.4872455750E+03    0.2394620474E+03
       227    0.5100000000E+03    0.4831871214E+03    0.2354025844E+03
       228    0.4510000000E+03    0.4677451101E+03    0.2199567322E+03
       229    0.4250000000E+03    0.4986625733E+03    0.2508818855E+03
       230    0.4320000000E+03    0.4892241977E+03    0.2414411623E+03
