     Index       y_measurement           y_fitting        descriptor_1
        85    0.4950000000E+03    0.3930110883E+03    0.3072413793E+04
        86    0.5220000000E+03    0.5610791576E+03    0.8237956204E+04
        87    0.5310000000E+03    0.5269066829E+03    0.7187671233E+04
        88    0.5330000000E+03    0.5438693690E+03    0.7709016393E+04
        89    0.4920000000E+03    0.5374655167E+03    0.7512195122E+04
        90    0.5050000000E+03    0.5237583927E+03    0.7090909091E+04
        91    0.5410000000E+03    0.5346285027E+03    0.7425000000E+04
        92    0.4680000000E+03    0.5062070147E+03    0.6551470588E+04
        93    0.4590000000E+03    0.4949098855E+03    0.6204255319E+04
        94    0.4440000000E+03    0.4336030317E+03    0.4320000000E+04
        95    0.4580000000E+03    0.4980250712E+03    0.6300000000E+04
        96    0.4450000000E+03    0.3748355912E+03    0.2513793103E+04
        97    0.4640000000E+03    0.5123458298E+03    0.6740145985E+04
        98    0.4660000000E+03    0.4843865323E+03    0.5880821918E+04
        99    0.4860000000E+03    0.4982650937E+03    0.6307377049E+04
       100    0.4610000000E+03    0.4930255781E+03    0.6146341463E+04
       101    0.4640000000E+03    0.4818106585E+03    0.5801652893E+04
       102    0.4750000000E+03    0.4907043849E+03    0.6075000000E+04
       103    0.4190000000E+03    0.4588378680E+03    0.5095588235E+04
       104    0.4180000000E+03    0.4500512120E+03    0.4825531915E+04
       105    0.4020000000E+03    0.4023681034E+03    0.3360000000E+04
       106    0.3980000000E+03    0.4524741342E+03    0.4900000000E+04
       107    0.4110000000E+03    0.3566600942E+03    0.1955172414E+04
       108    0.4280000000E+03    0.4636125020E+03    0.5242335766E+04
       109    0.4150000000E+03    0.4418663817E+03    0.4573972603E+04
       110    0.4250000000E+03    0.4526608183E+03    0.4905737705E+04
       111    0.4120000000E+03    0.4485856395E+03    0.4780487805E+04
       112    0.4100000000E+03    0.4398629243E+03    0.4512396694E+04
       113    0.4150000000E+03    0.4467802670E+03    0.4725000000E+04
       114    0.5820000000E+03    0.5585840972E+03    0.8161270962E+04
       115    0.5240000000E+03    0.5532508766E+03    0.7997355372E+04
       116    0.5830000000E+03    0.5406741145E+03    0.7610810811E+04
       117    0.5690000000E+03    0.5519991144E+03    0.7958882682E+04
       118    0.5360000000E+03    0.5354415820E+03    0.7449989848E+04
       119    0.5770000000E+03    0.5537450369E+03    0.8012543300E+04
       120    0.5650000000E+03    0.5543075001E+03    0.8029830508E+04
       121    0.5620000000E+03    0.5404287558E+03    0.7603269755E+04
       122    0.5220000000E+03    0.5170937468E+03    0.6886072374E+04
       123    0.5040000000E+03    0.5125938419E+03    0.6747768595E+04
       124    0.5160000000E+03    0.5019821989E+03    0.6421621622E+04
       125    0.5170000000E+03    0.5115376676E+03    0.6715307263E+04
       126    0.5110000000E+03    0.4975672496E+03    0.6285928934E+04
       127    0.5180000000E+03    0.5130107897E+03    0.6760583409E+04
       128    0.5240000000E+03    0.5134853680E+03    0.6775169492E+04
       129    0.5030000000E+03    0.5017751775E+03    0.6415258856E+04
       130    0.4830000000E+03    0.4756033963E+03    0.5610873786E+04
       131    0.4570000000E+03    0.4719368072E+03    0.5498181818E+04
       132    0.4820000000E+03    0.4632902833E+03    0.5232432432E+04
       133    0.4700000000E+03    0.4710762207E+03    0.5471731844E+04
       134    0.4590000000E+03    0.4596929172E+03    0.5121868020E+04
       135    0.4900000000E+03    0.4722765424E+03    0.5508623519E+04
       136    0.4850000000E+03    0.4726632359E+03    0.5520508475E+04
       137    0.4830000000E+03    0.4631215992E+03    0.5227247956E+04
       138    0.5870000000E+03    0.5495010549E+03    0.7882105263E+04
       139    0.5710000000E+03    0.5406471092E+03    0.7609980806E+04
       140    0.5780000000E+03    0.5532867225E+03    0.7998457088E+04
       141    0.5260000000E+03    0.5486043584E+03    0.7854545455E+04
       142    0.5350000000E+03    0.5385199625E+03    0.7544603330E+04
       143    0.5720000000E+03    0.5474685428E+03    0.7819636364E+04
       144    0.5620000000E+03    0.5540423191E+03    0.8021680217E+04
       145    0.5630000000E+03    0.5492529125E+03    0.7874478649E+04
       146    0.5830000000E+03    0.5436821381E+03    0.7703261883E+04
       147    0.5850000000E+03    0.5347253294E+03    0.7427975952E+04
       148    0.5920000000E+03    0.5421888972E+03    0.7657367387E+04
       149    0.5730000000E+03    0.5584354608E+03    0.8156702650E+04
