     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
        58    0.4520000000E+03    0.4557319659E+03    0.1885153451E+03   -0.1151292546E+02   -0.3176190476E+04
        59    0.4590000000E+03    0.4493558569E+03    0.1557278635E+03   -0.9541519525E+01   -0.2909423347E+04
        60    0.4150000000E+03    0.4389333144E+03    0.1543496686E+03   -0.1070969811E+02   -0.2950146199E+04
        61    0.4370000000E+03    0.4296036515E+03    0.1439280843E+03   -0.1009649303E+02   -0.3025665102E+04
        62    0.4150000000E+03    0.4337647601E+03    0.1372238424E+03   -0.9227783940E+01   -0.2914356984E+04
        63    0.4010000000E+03    0.4096917700E+03    0.1336109978E+03   -0.1151292546E+02   -0.3056776557E+04
        64    0.4630000000E+03    0.4522839142E+03    0.1515169227E+03   -0.8890961376E+01   -0.2847083333E+04
        65    0.4420000000E+03    0.4347865457E+03    0.1423107779E+03   -0.9715337279E+01   -0.2929816785E+04
        66    0.4380000000E+03    0.4317919332E+03    0.1500599390E+03   -0.1123212240E+02   -0.2947043990E+04
        67    0.4680000000E+03    0.4581945721E+03    0.1515169227E+03   -0.8693384457E+01   -0.2743239796E+04
        68    0.4520000000E+03    0.4333236983E+03    0.1423107779E+03   -0.1009649303E+02   -0.2909423347E+04
        69    0.4220000000E+03    0.4224218075E+03    0.1529464121E+03   -0.1151292546E+02   -0.3176190476E+04
        70    0.4130000000E+03    0.4154399269E+03    0.1195120813E+03   -0.9541519525E+01   -0.2909423347E+04
        71    0.3950000000E+03    0.4053175412E+03    0.1184543968E+03   -0.1070969811E+02   -0.2950146199E+04
        72    0.3980000000E+03    0.3982575923E+03    0.1104564368E+03   -0.1009649303E+02   -0.3025665102E+04
        73    0.3780000000E+03    0.4038788160E+03    0.1053113209E+03   -0.9227783940E+01   -0.2914356984E+04
        74    0.3720000000E+03    0.3805926663E+03    0.1025386727E+03   -0.1151292546E+02   -0.3056776557E+04
        75    0.4150000000E+03    0.4192850840E+03    0.1162804291E+03   -0.8890961376E+01   -0.2847083333E+04
        76    0.3960000000E+03    0.4037927192E+03    0.1092152481E+03   -0.9715337279E+01   -0.2929816785E+04
        77    0.3880000000E+03    0.3991104191E+03    0.1151622788E+03   -0.1123212240E+02   -0.2947043990E+04
        78    0.4150000000E+03    0.4251957419E+03    0.1162804291E+03   -0.8693384457E+01   -0.2743239796E+04
        79    0.3980000000E+03    0.4023298718E+03    0.1092152481E+03   -0.1009649303E+02   -0.2909423347E+04
        80    0.3820000000E+03    0.3891116491E+03    0.1173774790E+03   -0.1151292546E+02   -0.3176190476E+04
        81    0.5230000000E+03    0.4821425742E+03    0.1675776428E+03   -0.8689000351E+01   -0.2546052632E+04
        82    0.5340000000E+03    0.4955476347E+03    0.1774573329E+03   -0.7824046011E+01   -0.2573830409E+04
        83    0.4890000000E+03    0.4924163096E+03    0.1693053691E+03   -0.7315626875E+01   -0.2544369787E+04
        84    0.5000000000E+03    0.4567822581E+03    0.1790005176E+03   -0.6705991302E+01   -0.3621862934E+04
        85    0.4950000000E+03    0.4586621415E+03    0.1456260878E+03   -0.8856096512E+01   -0.2587777778E+04
        86    0.5220000000E+03    0.4899719946E+03    0.1726588189E+03   -0.8373036702E+01   -0.2521692745E+04
        87    0.5310000000E+03    0.5028625505E+03    0.1834773735E+03   -0.7983720419E+01   -0.2514435099E+04
        88    0.5330000000E+03    0.5082481052E+03    0.1805175434E+03   -0.7381175482E+01   -0.2416880616E+04
        89    0.4920000000E+03    0.4930352214E+03    0.1726588189E+03   -0.7013115795E+01   -0.2642331933E+04
        90    0.5050000000E+03    0.4823157980E+03    0.1658135366E+03   -0.8150047928E+01   -0.2580288462E+04
        91    0.5410000000E+03    0.4970702592E+03    0.1758868316E+03   -0.6698596945E+01   -0.2663492063E+04
        92    0.4680000000E+03    0.4501148664E+03    0.1333781238E+03   -0.8689000351E+01   -0.2546052632E+04
        93    0.4590000000E+03    0.4616317047E+03    0.1412415506E+03   -0.7824046011E+01   -0.2573830409E+04
        94    0.4440000000E+03    0.4600583961E+03    0.1347532530E+03   -0.7315626875E+01   -0.2544369787E+04
        95    0.4580000000E+03    0.4225713922E+03    0.1424697997E+03   -0.6705991302E+01   -0.3621862934E+04
        96    0.4450000000E+03    0.4308298502E+03    0.1159064781E+03   -0.8856096512E+01   -0.2587777778E+04
        97    0.4640000000E+03    0.4569731644E+03    0.1374223253E+03   -0.8373036702E+01   -0.2521692745E+04
        98    0.4660000000E+03    0.4677960607E+03    0.1460330116E+03   -0.7983720419E+01   -0.2514435099E+04
        99    0.4860000000E+03    0.4737473029E+03    0.1436772284E+03   -0.7381175482E+01   -0.2416880616E+04
       100    0.4610000000E+03    0.4600363912E+03    0.1374223253E+03   -0.7013115795E+01   -0.2642331933E+04
       101    0.4640000000E+03    0.4506252490E+03    0.1319740393E+03   -0.8150047928E+01   -0.2580288462E+04
       102    0.4750000000E+03    0.4634544861E+03    0.1399915599E+03   -0.6698596945E+01   -0.2663492063E+04
       103    0.4190000000E+03    0.4180871587E+03    0.9917860491E+02   -0.8689000351E+01   -0.2546052632E+04
       104    0.4180000000E+03    0.4277157747E+03    0.1050257684E+03   -0.7824046011E+01   -0.2573830409E+04
       105    0.4020000000E+03    0.4277004825E+03    0.1002011368E+03   -0.7315626875E+01   -0.2544369787E+04
       106    0.3980000000E+03    0.3883605263E+03    0.1059390818E+03   -0.6705991302E+01   -0.3621862934E+04
       107    0.4110000000E+03    0.4029975588E+03    0.8618686832E+02   -0.8856096512E+01   -0.2587777778E+04
       108    0.4280000000E+03    0.4239743341E+03    0.1021858316E+03   -0.8373036702E+01   -0.2521692745E+04
       109    0.4150000000E+03    0.4327295709E+03    0.1085886496E+03   -0.7983720419E+01   -0.2514435099E+04
       110    0.4250000000E+03    0.4392465007E+03    0.1068369135E+03   -0.7381175482E+01   -0.2416880616E+04
       111    0.4120000000E+03    0.4270375608E+03    0.1021858316E+03   -0.7013115795E+01   -0.2642331933E+04
       112    0.4100000000E+03    0.4189347001E+03    0.9813454206E+02   -0.8150047928E+01   -0.2580288462E+04
       113    0.4150000000E+03    0.4298387128E+03    0.1040962881E+03   -0.6698596945E+01   -0.2663492063E+04
       114    0.5820000000E+03    0.5789531782E+03    0.3046812041E+03   -0.9477183506E+01   -0.3138120679E+04
       115    0.5240000000E+03    0.5601569819E+03    0.2946463492E+03   -0.1029479738E+02   -0.3233400402E+04
       116    0.5830000000E+03    0.5734589818E+03    0.3083701969E+03   -0.1022792322E+02   -0.3232692308E+04
       117    0.5690000000E+03    0.5680364189E+03    0.2985859378E+03   -0.9740438604E+01   -0.3217261905E+04
       118    0.5360000000E+03    0.5536326539E+03    0.2946463492E+03   -0.1042003969E+02   -0.3360906217E+04
       119    0.5770000000E+03    0.5829326313E+03    0.3083701969E+03   -0.9740438604E+01   -0.3089947090E+04
       120    0.5650000000E+03    0.5677608553E+03    0.2922311065E+03   -0.9467281838E+01   -0.3129120879E+04
       121    0.5620000000E+03    0.5755746882E+03    0.3083701969E+03   -0.9985774245E+01   -0.3219303797E+04
       122    0.5220000000E+03    0.5270745083E+03    0.2492846216E+03   -0.9477183506E+01   -0.3138120679E+04
       123    0.5040000000E+03    0.5099869664E+03    0.2410742857E+03   -0.1029479738E+02   -0.3233400402E+04
       124    0.5160000000E+03    0.5209521798E+03    0.2523028884E+03   -0.1022792322E+02   -0.3232692308E+04
       125    0.5170000000E+03    0.5171956020E+03    0.2442975855E+03   -0.9740438604E+01   -0.3217261905E+04
       126    0.5110000000E+03    0.5034626385E+03    0.2410742857E+03   -0.1042003969E+02   -0.3360906217E+04
       127    0.5180000000E+03    0.5304258293E+03    0.2523028884E+03   -0.9740438604E+01   -0.3089947090E+04
       128    0.5240000000E+03    0.5180020881E+03    0.2390981781E+03   -0.9467281838E+01   -0.3129120879E+04
       129    0.5030000000E+03    0.5230678861E+03    0.2523028884E+03   -0.9985774245E+01   -0.3219303797E+04
       130    0.4830000000E+03    0.4751958383E+03    0.1938880390E+03   -0.9477183506E+01   -0.3138120679E+04
