     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2716049840E+03    0.1838077703E+02    0.1407692308E+05
         2    0.2350000000E+03    0.2130649079E+03    0.2008298850E+02    0.2152941176E+05
         3    0.2350000000E+03    0.2685864784E+03    0.2008298850E+02    0.1466346154E+05
         4    0.2410000000E+03    0.2721298190E+03    0.1889881575E+02    0.1407692308E+05
         5    0.2250000000E+03    0.2247270474E+03    0.1783176586E+02    0.1980519481E+05
         6    0.2450000000E+03    0.2678843095E+03    0.1938991221E+02    0.1466346154E+05
         7    0.2550000000E+03    0.2855259382E+03    0.2008298850E+02    0.1256868132E+05
         8    0.2450000000E+03    0.2810594450E+03    0.1938991221E+02    0.1303418803E+05
         9    0.2750000000E+03    0.2573229039E+03    0.2073126969E+02    0.1613756614E+05
        10    0.2390000000E+03    0.2185374789E+03    0.1962639786E+02    0.2079545455E+05
        11    0.2550000000E+03    0.2407056855E+03    0.1985731784E+02    0.1808300395E+05
        12    0.3970000000E+03    0.4235623121E+03    0.1720491060E+03    0.1453781513E+05
        13    0.4190000000E+03    0.4620007533E+03    0.2099897954E+03    0.1453781513E+05
        14    0.4010000000E+03    0.4310280651E+03    0.1864507797E+03    0.1541889483E+05
        15    0.3940000000E+03    0.4371680711E+03    0.2064299586E+03    0.1716269841E+05
        16    0.4260000000E+03    0.4137742093E+03    0.1771122528E+03    0.1638257576E+05
        17    0.4260000000E+03    0.4609078366E+03    0.2064299586E+03    0.1422697368E+05
        18    0.4540000000E+03    0.4397411290E+03    0.2027429184E+03    0.1638257576E+05
        19    0.4180000000E+03    0.4099874652E+03    0.1864507797E+03    0.1802083333E+05
        20    0.4160000000E+03    0.4709269059E+03    0.2064299586E+03    0.1298798799E+05
        21    0.3950000000E+03    0.4261963215E+03    0.1819013725E+03    0.1544642857E+05
        22    0.4330000000E+03    0.4430757389E+03    0.1819013725E+03    0.1335907336E+05
        23    0.3790000000E+03    0.3940869047E+03    0.1928851344E+03    0.2079326923E+05
        24    0.3820000000E+03    0.3929822675E+03    0.1418650523E+03    0.1453781513E+05
        25    0.3850000000E+03    0.4246771225E+03    0.1731494804E+03    0.1453781513E+05
        26    0.3650000000E+03    0.3978882640E+03    0.1537401166E+03    0.1541889483E+05
        27    0.3790000000E+03    0.4004771665E+03    0.1702141764E+03    0.1716269841E+05
        28    0.3770000000E+03    0.3822942400E+03    0.1460399278E+03    0.1638257576E+05
        29    0.3940000000E+03    0.4242169319E+03    0.1702141764E+03    0.1422697368E+05
        30    0.4250000000E+03    0.4037055596E+03    0.1671739853E+03    0.1638257576E+05
        31    0.3950000000E+03    0.3768476640E+03    0.1537401166E+03    0.1802083333E+05
        32    0.3930000000E+03    0.4342360013E+03    0.1702141764E+03    0.1298798799E+05
        33    0.3750000000E+03    0.3938651329E+03    0.1499888510E+03    0.1544642857E+05
        34    0.3890000000E+03    0.4107445503E+03    0.1499888510E+03    0.1335907336E+05
        35    0.3580000000E+03    0.3598034600E+03    0.1590456371E+03    0.2079326923E+05
        36    0.3440000000E+03    0.3624022228E+03    0.1116809986E+03    0.1453781513E+05
        37    0.3690000000E+03    0.3873534917E+03    0.1363091654E+03    0.1453781513E+05
        38    0.3250000000E+03    0.3647484629E+03    0.1210294535E+03    0.1541889483E+05
        39    0.3380000000E+03    0.3637862619E+03    0.1339983942E+03    0.1716269841E+05
        40    0.3620000000E+03    0.3508142705E+03    0.1149676027E+03    0.1638257576E+05
        41    0.3610000000E+03    0.3875260273E+03    0.1339983942E+03    0.1422697368E+05
        42    0.3850000000E+03    0.3676699903E+03    0.1316050523E+03    0.1638257576E+05
        43    0.3480000000E+03    0.3437078629E+03    0.1210294535E+03    0.1802083333E+05
        44    0.3680000000E+03    0.3975450967E+03    0.1339983942E+03    0.1298798799E+05
        45    0.3410000000E+03    0.3615339444E+03    0.1180763295E+03    0.1544642857E+05
        46    0.3650000000E+03    0.3784133618E+03    0.1180763295E+03    0.1335907336E+05
        47    0.3250000000E+03    0.3255200153E+03    0.1252061399E+03    0.2079326923E+05
        48    0.5130000000E+03    0.4906516697E+03    0.1919436458E+03    0.8733850129E+04
        49    0.4480000000E+03    0.4905358231E+03    0.1902449403E+03    0.8535353535E+04
        50    0.4650000000E+03    0.4545150236E+03    0.1773997318E+03    0.1138047138E+05
        51    0.4460000000E+03    0.4624165417E+03    0.1691363639E+03    0.9368070953E+04
        52    0.4370000000E+03    0.4542976996E+03    0.1646833228E+03    0.9814169570E+04
        53    0.5020000000E+03    0.4941256839E+03    0.1867534164E+03    0.7653985507E+04
        54    0.4650000000E+03    0.4590030796E+03    0.1754063076E+03    0.1057571965E+05
        55    0.4750000000E+03    0.4785292316E+03    0.1849575992E+03    0.9357696567E+04
        56    0.5040000000E+03    0.4966788461E+03    0.1867534164E+03    0.7338254451E+04
        57    0.4860000000E+03    0.4524954472E+03    0.1754063076E+03    0.1138047138E+05
        58    0.4520000000E+03    0.4784423791E+03    0.1885153451E+03    0.9814169570E+04
        59    0.4590000000E+03    0.4539607650E+03    0.1557278635E+03    0.8733850129E+04
        60    0.4150000000E+03    0.4541696338E+03    0.1543496686E+03    0.8535353535E+04
        61    0.4370000000E+03    0.4206042545E+03    0.1439280843E+03    0.1138047138E+05
        62    0.4150000000E+03    0.4300853531E+03    0.1372238424E+03    0.9368070953E+04
        63    0.4010000000E+03    0.4228177302E+03    0.1336109978E+03    0.9814169570E+04
        64    0.4630000000E+03    0.4584269153E+03    0.1515169227E+03    0.7653985507E+04
        65    0.4420000000E+03    0.4254733627E+03    0.1423107779E+03    0.1057571965E+05
        66    0.4380000000E+03    0.4431737417E+03    0.1500599390E+03    0.9357696567E+04
        67    0.4680000000E+03    0.4609800774E+03    0.1515169227E+03    0.7338254451E+04
        68    0.4520000000E+03    0.4189657303E+03    0.1423107779E+03    0.1138047138E+05
        69    0.4220000000E+03    0.4424068099E+03    0.1529464121E+03    0.9814169570E+04
        70    0.4130000000E+03    0.4172698603E+03    0.1195120813E+03    0.8733850129E+04
        71    0.3950000000E+03    0.4178034444E+03    0.1184543968E+03    0.8535353535E+04
        72    0.3980000000E+03    0.3866934855E+03    0.1104564368E+03    0.1138047138E+05
        73    0.3780000000E+03    0.3977541646E+03    0.1053113209E+03    0.9368070953E+04
        74    0.3720000000E+03    0.3913377608E+03    0.1025386727E+03    0.9814169570E+04
        75    0.4150000000E+03    0.4227281468E+03    0.1162804291E+03    0.7653985507E+04
        76    0.3960000000E+03    0.3919436457E+03    0.1092152481E+03    0.1057571965E+05
        77    0.3880000000E+03    0.4078182518E+03    0.1151622788E+03    0.9357696567E+04
        78    0.4150000000E+03    0.4252813089E+03    0.1162804291E+03    0.7338254451E+04
        79    0.3980000000E+03    0.3854360134E+03    0.1092152481E+03    0.1138047138E+05
        80    0.3820000000E+03    0.4063712405E+03    0.1173774790E+03    0.9814169570E+04
        81    0.5230000000E+03    0.4916673127E+03    0.1675776428E+03    0.5555555556E+04
        82    0.5340000000E+03    0.4990847866E+03    0.1774573329E+03    0.5876068376E+04
        83    0.4890000000E+03    0.4848862653E+03    0.1693053691E+03    0.6610576923E+04
        84    0.5000000000E+03    0.5023452482E+03    0.1790005176E+03    0.5666208791E+04
        85    0.4950000000E+03    0.4677324857E+03    0.1456260878E+03    0.5765199161E+04
        86    0.5220000000E+03    0.4999396365E+03    0.1726588189E+03    0.5169172932E+04
        87    0.5310000000E+03    0.5033379776E+03    0.1834773735E+03    0.6104328524E+04
        88    0.5330000000E+03    0.5071414510E+03    0.1805175434E+03    0.5263157895E+04
        89    0.4920000000E+03    0.4967848769E+03    0.1726588189E+03    0.5559299191E+04
        90    0.5050000000E+03    0.4834868824E+03    0.1658135366E+03    0.6346153846E+04
        91    0.5410000000E+03    0.4935339414E+03    0.1758868316E+03    0.6365740741E+04
        92    0.4680000000E+03    0.4570191231E+03    0.1333781238E+03    0.5555555556E+04
        93    0.4590000000E+03    0.4623938819E+03    0.1412415506E+03    0.5876068376E+04
        94    0.4440000000E+03    0.4498808528E+03    0.1347532530E+03    0.6610576923E+04
        95    0.4580000000E+03    0.4653352762E+03    0.1424697997E+03    0.5666208791E+04
        96    0.4450000000E+03    0.4376229782E+03    0.1159064781E+03    0.5765199161E+04
        97    0.4640000000E+03    0.4642408680E+03    0.1374223253E+03    0.5169172932E+04
        98    0.4660000000E+03    0.4654023753E+03    0.1460330116E+03    0.6104328524E+04
        99    0.4860000000E+03    0.4698178202E+03    0.1436772284E+03    0.5263157895E+04
       100    0.4610000000E+03    0.4610861084E+03    0.1374223253E+03    0.5559299191E+04
       101    0.4640000000E+03    0.4492034376E+03    0.1319740393E+03    0.6346153846E+04
       102    0.4750000000E+03    0.4571677522E+03    0.1399915599E+03    0.6365740741E+04
       103    0.4190000000E+03    0.4223709335E+03    0.9917860491E+02    0.5555555556E+04
       104    0.4180000000E+03    0.4257029773E+03    0.1050257684E+03    0.5876068376E+04
       105    0.4020000000E+03    0.4148754401E+03    0.1002011368E+03    0.6610576923E+04
       106    0.3980000000E+03    0.4283253041E+03    0.1059390818E+03    0.5666208791E+04
       107    0.4110000000E+03    0.4075134707E+03    0.8618686832E+02    0.5765199161E+04
