     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.2320000000E+03    0.2268578633E+03    0.7800000000E+01   -0.2935932943E+00
         2    0.2350000000E+03    0.2443571808E+03    0.7500000000E+01   -0.1955780129E+01
         3    0.2350000000E+03    0.2289327364E+03    0.7800000000E+01   -0.4845813551E+00
         4    0.2410000000E+03    0.2267851493E+03    0.7800000000E+01   -0.2869001114E+00
         5    0.2250000000E+03    0.2252037998E+03    0.6600000000E+01   -0.3469738932E+00
         6    0.2450000000E+03    0.2312931999E+03    0.7800000000E+01   -0.7018574502E+00
         7    0.2550000000E+03    0.2294614773E+03    0.8400000000E+01   -0.4304339487E+00
         8    0.2450000000E+03    0.2273356636E+03    0.8100000000E+01   -0.2861653956E+00
         9    0.2750000000E+03    0.2383360005E+03    0.8100000000E+01   -0.1298725147E+01
        10    0.2390000000E+03    0.2251598980E+03    0.6600000000E+01   -0.3429328239E+00
        11    0.2550000000E+03    0.2272779052E+03    0.6900000000E+01   -0.4864827976E+00
        12    0.3970000000E+03    0.4351267821E+03    0.1207500000E+03   -0.1090489379E+00
        13    0.4190000000E+03    0.4455189617E+03    0.1207500000E+03   -0.1065628985E+01
        14    0.4010000000E+03    0.4302032123E+03    0.1173000000E+03   -0.2470414752E+00
        15    0.3940000000E+03    0.4540252673E+03    0.1242000000E+03   -0.1257420354E+01
        16    0.4260000000E+03    0.4250109512E+03    0.1138500000E+03   -0.3603014818E+00
        17    0.4260000000E+03    0.4622326685E+03    0.1311000000E+03   -0.8305005546E+00
        18    0.4540000000E+03    0.4353935735E+03    0.1138500000E+03   -0.1316001794E+01
        19    0.4180000000E+03    0.4173650347E+03    0.1104000000E+03   -0.2477072687E+00
        20    0.4160000000E+03    0.4594225683E+03    0.1276500000E+03   -0.1163033866E+01
        21    0.3950000000E+03    0.4351129844E+03    0.1207500000E+03   -0.1077788875E+00
        22    0.4330000000E+03    0.4490847828E+03    0.1276500000E+03   -0.2114607030E+00
        23    0.3790000000E+03    0.4285068992E+03    0.1104000000E+03   -0.1273294355E+01
        24    0.3820000000E+03    0.4025478419E+03    0.1032500000E+03   -0.1090489379E+00
        25    0.3850000000E+03    0.4129400215E+03    0.1032500000E+03   -0.1065628985E+01
        26    0.3650000000E+03    0.3985550990E+03    0.1003000000E+03   -0.2470414752E+00
        27    0.3790000000E+03    0.4205155002E+03    0.1062000000E+03   -0.1257420354E+01
        28    0.3770000000E+03    0.3942936647E+03    0.9735000000E+02   -0.3603014818E+00
        29    0.3940000000E+03    0.4268612478E+03    0.1121000000E+03   -0.8305005546E+00
        30    0.4250000000E+03    0.4046762870E+03    0.9735000000E+02   -0.1316001794E+01
        31    0.3950000000E+03    0.3875785752E+03    0.9440000000E+02   -0.2477072687E+00
        32    0.3930000000E+03    0.4249819744E+03    0.1091500000E+03   -0.1163033866E+01
        33    0.3750000000E+03    0.4025340442E+03    0.1032500000E+03   -0.1077788875E+00
        34    0.3890000000E+03    0.4146441889E+03    0.1091500000E+03   -0.2114607030E+00
        35    0.3580000000E+03    0.3987204397E+03    0.9440000000E+02   -0.1273294355E+01
        36    0.3440000000E+03    0.3699689017E+03    0.8575000000E+02   -0.1090489379E+00
        37    0.3690000000E+03    0.3803610814E+03    0.8575000000E+02   -0.1065628985E+01
        38    0.3250000000E+03    0.3669069857E+03    0.8330000000E+02   -0.2470414752E+00
        39    0.3380000000E+03    0.3870057332E+03    0.8820000000E+02   -0.1257420354E+01
        40    0.3620000000E+03    0.3635763782E+03    0.8085000000E+02   -0.3603014818E+00
        41    0.3610000000E+03    0.3914898270E+03    0.9310000000E+02   -0.8305005546E+00
        42    0.3850000000E+03    0.3739590006E+03    0.8085000000E+02   -0.1316001794E+01
        43    0.3480000000E+03    0.3577921156E+03    0.7840000000E+02   -0.2477072687E+00
        44    0.3680000000E+03    0.3905413804E+03    0.9065000000E+02   -0.1163033866E+01
        45    0.3410000000E+03    0.3699551040E+03    0.8575000000E+02   -0.1077788875E+00
        46    0.3650000000E+03    0.3802035950E+03    0.9065000000E+02   -0.2114607030E+00
        47    0.3250000000E+03    0.3689339801E+03    0.7840000000E+02   -0.1273294355E+01
        48    0.5130000000E+03    0.4943922984E+03    0.1462500000E+03   -0.1194603672E+01
        49    0.4480000000E+03    0.4919393080E+03    0.1462500000E+03   -0.9688106511E+00
        50    0.4650000000E+03    0.4882375476E+03    0.1462500000E+03   -0.6280707602E+00
        51    0.4460000000E+03    0.4772715970E+03    0.1430000000E+03   -0.1756014928E+00
        52    0.4370000000E+03    0.4652869319E+03    0.1365000000E+03   -0.1862868098E+00
        53    0.5020000000E+03    0.5082037855E+03    0.1560000000E+03   -0.7951485053E+00
        54    0.4650000000E+03    0.4977728830E+03    0.1527500000E+03   -0.3919293775E+00
        55    0.4750000000E+03    0.4818504351E+03    0.1397500000E+03   -0.1153999969E+01
        56    0.5040000000E+03    0.5131429556E+03    0.1592500000E+03   -0.6928642769E+00
        57    0.4860000000E+03    0.4849765300E+03    0.1462500000E+03   -0.3279003959E+00
        58    0.4520000000E+03    0.4751750514E+03    0.1365000000E+03   -0.1096469092E+01
        59    0.4590000000E+03    0.4525050896E+03    0.1237500000E+03   -0.1194603672E+01
        60    0.4150000000E+03    0.4500520992E+03    0.1237500000E+03   -0.9688106511E+00
        61    0.4370000000E+03    0.4463503388E+03    0.1237500000E+03   -0.6280707602E+00
        62    0.4150000000E+03    0.4363152151E+03    0.1210000000E+03   -0.1756014928E+00
        63    0.4010000000E+03    0.4261922037E+03    0.1155000000E+03   -0.1862868098E+00
        64    0.4630000000E+03    0.4635240962E+03    0.1320000000E+03   -0.7951485053E+00
        65    0.4420000000E+03    0.4540240205E+03    0.1292500000E+03   -0.3919293775E+00
        66    0.4380000000E+03    0.4418248800E+03    0.1182500000E+03   -0.1153999969E+01
        67    0.4680000000E+03    0.4675324394E+03    0.1347500000E+03   -0.6928642769E+00
        68    0.4520000000E+03    0.4430893212E+03    0.1237500000E+03   -0.3279003959E+00
        69    0.4220000000E+03    0.4360803232E+03    0.1155000000E+03   -0.1096469092E+01
        70    0.4130000000E+03    0.4106178808E+03    0.1012500000E+03   -0.1194603672E+01
        71    0.3950000000E+03    0.4081648904E+03    0.1012500000E+03   -0.9688106511E+00
        72    0.3980000000E+03    0.4044631300E+03    0.1012500000E+03   -0.6280707602E+00
        73    0.3780000000E+03    0.3953588331E+03    0.9900000000E+02   -0.1756014928E+00
        74    0.3720000000E+03    0.3870974755E+03    0.9450000000E+02   -0.1862868098E+00
        75    0.4150000000E+03    0.4188444068E+03    0.1080000000E+03   -0.7951485053E+00
        76    0.3960000000E+03    0.4102751579E+03    0.1057500000E+03   -0.3919293775E+00
        77    0.3880000000E+03    0.4017993249E+03    0.9675000000E+02   -0.1153999969E+01
        78    0.4150000000E+03    0.4219219231E+03    0.1102500000E+03   -0.6928642769E+00
        79    0.3980000000E+03    0.4012021124E+03    0.1012500000E+03   -0.3279003959E+00
        80    0.3820000000E+03    0.3969855950E+03    0.9450000000E+02   -0.1096469092E+01
        81    0.5230000000E+03    0.5293024304E+03    0.1677500000E+03   -0.7237388666E+00
        82    0.5340000000E+03    0.5250883751E+03    0.1647000000E+03   -0.8584961869E+00
        83    0.4890000000E+03    0.5074884167E+03    0.1586000000E+03   -0.2837599580E+00
        84    0.5000000000E+03    0.5363222009E+03    0.1708000000E+03   -0.8472422077E+00
        85    0.4950000000E+03    0.5165591201E+03    0.1647000000E+03   -0.7339474629E-01
        86    0.5220000000E+03    0.5421149250E+03    0.1738500000E+03   -0.8577983021E+00
        87    0.5310000000E+03    0.5190609664E+03    0.1616500000E+03   -0.8263378281E+00
        88    0.5330000000E+03    0.5400703458E+03    0.1738500000E+03   -0.6695987413E+00
        89    0.4920000000E+03    0.5344359672E+03    0.1708000000E+03   -0.6736180470E+00
        90    0.5050000000E+03    0.5124767826E+03    0.1586000000E+03   -0.7429293925E+00
        91    0.5410000000E+03    0.5236320981E+03    0.1647000000E+03   -0.7244487047E+00
        92    0.4680000000E+03    0.4781069530E+03    0.1402500000E+03   -0.7237388666E+00
        93    0.4590000000E+03    0.4748237246E+03    0.1377000000E+03   -0.8584961869E+00
        94    0.4440000000E+03    0.4590854199E+03    0.1326000000E+03   -0.2837599580E+00
        95    0.4580000000E+03    0.4841958966E+03    0.1428000000E+03   -0.8472422077E+00
        96    0.4450000000E+03    0.4662944695E+03    0.1377000000E+03   -0.7339474629E-01
        97    0.4640000000E+03    0.4890577938E+03    0.1453500000E+03   -0.8577983021E+00
        98    0.4660000000E+03    0.4697271427E+03    0.1351500000E+03   -0.8263378281E+00
        99    0.4860000000E+03    0.4870132146E+03    0.1453500000E+03   -0.6695987413E+00
       100    0.4610000000E+03    0.4823096629E+03    0.1428000000E+03   -0.6736180470E+00
       101    0.4640000000E+03    0.4640737857E+03    0.1326000000E+03   -0.7429293925E+00
       102    0.4750000000E+03    0.4733674476E+03    0.1377000000E+03   -0.7244487047E+00
       103    0.4190000000E+03    0.4269114756E+03    0.1127500000E+03   -0.7237388666E+00
       104    0.4180000000E+03    0.4245590740E+03    0.1107000000E+03   -0.8584961869E+00
       105    0.4020000000E+03    0.4106824230E+03    0.1066000000E+03   -0.2837599580E+00
       106    0.3980000000E+03    0.4320695923E+03    0.1148000000E+03   -0.8472422077E+00
       107    0.4110000000E+03    0.4160298189E+03    0.1107000000E+03   -0.7339474629E-01
       108    0.4280000000E+03    0.4360006627E+03    0.1168500000E+03   -0.8577983021E+00
       109    0.4150000000E+03    0.4203933190E+03    0.1086500000E+03   -0.8263378281E+00
       110    0.4250000000E+03    0.4339560835E+03    0.1168500000E+03   -0.6695987413E+00
       111    0.4120000000E+03    0.4301833587E+03    0.1148000000E+03   -0.6736180470E+00
       112    0.4100000000E+03    0.4156707889E+03    0.1066000000E+03   -0.7429293925E+00
       113    0.4150000000E+03    0.4231027970E+03    0.1107000000E+03   -0.7244487047E+00
       114    0.5820000000E+03    0.6002054414E+03    0.1440500000E+03   -0.1131149449E+02
       115    0.5240000000E+03    0.5909775426E+03    0.1407000000E+03   -0.1103614569E+02
       116    0.5830000000E+03    0.5961916599E+03    0.1340000000E+03   -0.1266421801E+02
       117    0.5690000000E+03    0.5881228911E+03    0.1407000000E+03   -0.1077338054E+02
       118    0.5360000000E+03    0.5970112437E+03    0.1306500000E+03   -0.1331372056E+02
       119    0.5770000000E+03    0.6109782213E+03    0.1407000000E+03   -0.1287716950E+02
       120    0.5650000000E+03    0.6053331912E+03    0.1407000000E+03   -0.1235755539E+02
       121    0.5620000000E+03    0.5921193366E+03    0.1340000000E+03   -0.1228936852E+02
       122    0.5220000000E+03    0.5601798863E+03    0.1225500000E+03   -0.1131149449E+02
       123    0.5040000000E+03    0.5518828143E+03    0.1197000000E+03   -0.1103614569E+02
       124    0.5160000000E+03    0.5589585855E+03    0.1140000000E+03   -0.1266421801E+02
       125    0.5170000000E+03    0.5490281629E+03    0.1197000000E+03   -0.1077338054E+02
       126    0.5110000000E+03    0.5607089961E+03    0.1111500000E+03   -0.1331372056E+02
       127    0.5180000000E+03    0.5718834931E+03    0.1197000000E+03   -0.1287716950E+02
       128    0.5240000000E+03    0.5662384630E+03    0.1197000000E+03   -0.1235755539E+02
       129    0.5030000000E+03    0.5548862621E+03    0.1140000000E+03   -0.1228936852E+02
       130    0.4830000000E+03    0.5201543312E+03    0.1010500000E+03   -0.1131149449E+02
       131    0.4570000000E+03    0.5127880861E+03    0.9870000000E+02   -0.1103614569E+02
       132    0.4820000000E+03    0.5217255110E+03    0.9400000000E+02   -0.1266421801E+02
       133    0.4700000000E+03    0.5099334346E+03    0.9870000000E+02   -0.1077338054E+02
       134    0.4590000000E+03    0.5244067485E+03    0.9165000000E+02   -0.1331372056E+02
       135    0.4900000000E+03    0.5327887649E+03    0.9870000000E+02   -0.1287716950E+02
       136    0.4850000000E+03    0.5271437347E+03    0.9870000000E+02   -0.1235755539E+02
       137    0.4830000000E+03    0.5176531876E+03    0.9400000000E+02   -0.1228936852E+02
       138    0.5870000000E+03    0.5925144860E+03    0.1742000000E+03   -0.5437003887E+01
       139    0.5710000000E+03    0.5842927650E+03    0.1675000000E+03   -0.5828333262E+01
       140    0.5780000000E+03    0.5960683645E+03    0.1775500000E+03   -0.5190070085E+01
       141    0.5260000000E+03    0.5926163404E+03    0.1742000000E+03   -0.5446379383E+01
       142    0.5350000000E+03    0.5865546003E+03    0.1708500000E+03   -0.5462469375E+01
       143    0.5720000000E+03    0.5869325800E+03    0.1708500000E+03   -0.5497261677E+01
       144    0.5620000000E+03    0.6019297756E+03    0.1775500000E+03   -0.5729601641E+01
       145    0.5630000000E+03    0.5998339755E+03    0.1809000000E+03   -0.4962625850E+01
       146    0.5830000000E+03    0.5943659622E+03    0.1742000000E+03   -0.5607428692E+01
       147    0.5850000000E+03    0.5845807732E+03    0.1708500000E+03   -0.5280782407E+01
       148    0.5920000000E+03    0.5877981723E+03    0.1708500000E+03   -0.5576937775E+01
       149    0.5730000000E+03    0.5957469774E+03    0.1775500000E+03   -0.5160487018E+01
       150    0.5360000000E+03    0.6043648804E+03    0.1809000000E+03   -0.5379686883E+01
       151    0.5570000000E+03    0.5853010464E+03    0.1675000000E+03   -0.5921143608E+01
       152    0.5520000000E+03    0.5441114892E+03    0.1482000000E+03   -0.5437003887E+01
       153    0.5190000000E+03    0.5377514219E+03    0.1425000000E+03   -0.5828333262E+01
       154    0.5240000000E+03    0.5467345408E+03    0.1510500000E+03   -0.5190070085E+01
       155    0.5080000000E+03    0.5442133435E+03    0.1482000000E+03   -0.5446379383E+01
       156    0.4900000000E+03    0.5390824303E+03    0.1453500000E+03   -0.5462469375E+01
       157    0.5500000000E+03    0.5394604100E+03    0.1453500000E+03   -0.5497261677E+01
       158    0.5150000000E+03    0.5525959519E+03    0.1510500000E+03   -0.5729601641E+01
       159    0.5300000000E+03    0.5495693250E+03    0.1539000000E+03   -0.4962625850E+01
       160    0.5460000000E+03    0.5459629654E+03    0.1482000000E+03   -0.5607428692E+01
       161    0.5350000000E+03    0.5371086032E+03    0.1453500000E+03   -0.5280782407E+01
       162    0.5500000000E+03    0.5403260023E+03    0.1453500000E+03   -0.5576937775E+01
       163    0.5420000000E+03    0.5464131537E+03    0.1510500000E+03   -0.5160487018E+01
       164    0.5920000000E+03    0.5541002298E+03    0.1539000000E+03   -0.5379686883E+01
       165    0.5240000000E+03    0.5387597032E+03    0.1425000000E+03   -0.5921143608E+01
       166    0.4970000000E+03    0.4957084923E+03    0.1222000000E+03   -0.5437003887E+01
       167    0.4910000000E+03    0.4912100788E+03    0.1175000000E+03   -0.5828333262E+01
       168    0.4630000000E+03    0.4974007171E+03    0.1245500000E+03   -0.5190070085E+01
