     Index       y_measurement           y_fitting        descriptor_1
        85    0.4950000000E+03    0.5580789300E+03    0.1323000000E+03
        86    0.5220000000E+03    0.5728032433E+03    0.1396500000E+03
        87    0.5310000000E+03    0.5531708255E+03    0.1298500000E+03
        88    0.5330000000E+03    0.5728032433E+03    0.1396500000E+03
        89    0.4920000000E+03    0.5678951389E+03    0.1372000000E+03
        90    0.5050000000E+03    0.5482627210E+03    0.1274000000E+03
        91    0.5410000000E+03    0.5580789300E+03    0.1323000000E+03
        92    0.4680000000E+03    0.5078960660E+03    0.1072500000E+03
        93    0.4590000000E+03    0.5039896155E+03    0.1053000000E+03
        94    0.4440000000E+03    0.4961767145E+03    0.1014000000E+03
        95    0.4580000000E+03    0.5118025165E+03    0.1092000000E+03
        96    0.4450000000E+03    0.5039896155E+03    0.1053000000E+03
        97    0.4640000000E+03    0.5157089669E+03    0.1111500000E+03
        98    0.4660000000E+03    0.5000831650E+03    0.1033500000E+03
        99    0.4860000000E+03    0.5157089669E+03    0.1111500000E+03
       100    0.4610000000E+03    0.5118025165E+03    0.1092000000E+03
       101    0.4640000000E+03    0.4961767145E+03    0.1014000000E+03
       102    0.4750000000E+03    0.5039896155E+03    0.1053000000E+03
       103    0.4190000000E+03    0.4528050975E+03    0.7975000000E+02
       104    0.4180000000E+03    0.4499003010E+03    0.7830000000E+02
       105    0.4020000000E+03    0.4440907080E+03    0.7540000000E+02
       106    0.3980000000E+03    0.4557098940E+03    0.8120000000E+02
       107    0.4110000000E+03    0.4499003010E+03    0.7830000000E+02
       108    0.4280000000E+03    0.4586146906E+03    0.8265000000E+02
       109    0.4150000000E+03    0.4469955045E+03    0.7685000000E+02
       110    0.4250000000E+03    0.4586146906E+03    0.8265000000E+02
       111    0.4120000000E+03    0.4557098940E+03    0.8120000000E+02
       112    0.4100000000E+03    0.4440907080E+03    0.7540000000E+02
       113    0.4150000000E+03    0.4499003010E+03    0.7830000000E+02
       114    0.5820000000E+03    0.5299324533E+03    0.1182500000E+03
       115    0.5240000000E+03    0.5244233565E+03    0.1155000000E+03
       116    0.5830000000E+03    0.5134051628E+03    0.1100000000E+03
       117    0.5690000000E+03    0.5244233565E+03    0.1155000000E+03
       118    0.5360000000E+03    0.5078960660E+03    0.1072500000E+03
       119    0.5770000000E+03    0.5244233565E+03    0.1155000000E+03
       120    0.5650000000E+03    0.5244233565E+03    0.1155000000E+03
       121    0.5620000000E+03    0.5134051628E+03    0.1100000000E+03
       122    0.5220000000E+03    0.4868613326E+03    0.9675000000E+02
       123    0.5040000000E+03    0.4823538897E+03    0.9450000000E+02
       124    0.5160000000E+03    0.4733390039E+03    0.9000000000E+02
       125    0.5170000000E+03    0.4823538897E+03    0.9450000000E+02
       126    0.5110000000E+03    0.4688315611E+03    0.8775000000E+02
       127    0.5180000000E+03    0.4823538897E+03    0.9450000000E+02
       128    0.5240000000E+03    0.4823538897E+03    0.9450000000E+02
       129    0.5030000000E+03    0.4733390039E+03    0.9000000000E+02
       130    0.4830000000E+03    0.4437902118E+03    0.7525000000E+02
       131    0.4570000000E+03    0.4402844229E+03    0.7350000000E+02
       132    0.4820000000E+03    0.4332728451E+03    0.7000000000E+02
       133    0.4700000000E+03    0.4402844229E+03    0.7350000000E+02
       134    0.4590000000E+03    0.4297670562E+03    0.6825000000E+02
       135    0.4900000000E+03    0.4402844229E+03    0.7350000000E+02
       136    0.4850000000E+03    0.4402844229E+03    0.7350000000E+02
       137    0.4830000000E+03    0.4332728451E+03    0.7000000000E+02
       138    0.5870000000E+03    0.5795143249E+03    0.1430000000E+03
       139    0.5710000000E+03    0.5684961313E+03    0.1375000000E+03
       140    0.5780000000E+03    0.5850234218E+03    0.1457500000E+03
       141    0.5260000000E+03    0.5795143249E+03    0.1430000000E+03
       142    0.5350000000E+03    0.5740052281E+03    0.1402500000E+03
       143    0.5720000000E+03    0.5740052281E+03    0.1402500000E+03
       144    0.5620000000E+03    0.5850234218E+03    0.1457500000E+03
       145    0.5630000000E+03    0.5905325186E+03    0.1485000000E+03
       146    0.5830000000E+03    0.5795143249E+03    0.1430000000E+03
       147    0.5850000000E+03    0.5740052281E+03    0.1402500000E+03
       148    0.5920000000E+03    0.5740052281E+03    0.1402500000E+03
       149    0.5730000000E+03    0.5850234218E+03    0.1457500000E+03
       150    0.5360000000E+03    0.5905325186E+03    0.1485000000E+03
       151    0.5570000000E+03    0.5684961313E+03    0.1375000000E+03
       152    0.5520000000E+03    0.5274283184E+03    0.1170000000E+03
       153    0.5190000000E+03    0.5184134327E+03    0.1125000000E+03
       154    0.5240000000E+03    0.5319357613E+03    0.1192500000E+03
       155    0.5080000000E+03    0.5274283184E+03    0.1170000000E+03
       156    0.4900000000E+03    0.5229208755E+03    0.1147500000E+03
       157    0.5500000000E+03    0.5229208755E+03    0.1147500000E+03
       158    0.5150000000E+03    0.5319357613E+03    0.1192500000E+03
       159    0.5300000000E+03    0.5364432042E+03    0.1215000000E+03
       160    0.5460000000E+03    0.5274283184E+03    0.1170000000E+03
       161    0.5350000000E+03    0.5229208755E+03    0.1147500000E+03
       162    0.5500000000E+03    0.5229208755E+03    0.1147500000E+03
       163    0.5420000000E+03    0.5319357613E+03    0.1192500000E+03
       164    0.5920000000E+03    0.5364432042E+03    0.1215000000E+03
       165    0.5240000000E+03    0.5184134327E+03    0.1125000000E+03
       166    0.4970000000E+03    0.4753423119E+03    0.9100000000E+02
       167    0.4910000000E+03    0.4683307341E+03    0.8750000000E+02
       168    0.4630000000E+03    0.4788481008E+03    0.9275000000E+02
       169    0.4640000000E+03    0.4753423119E+03    0.9100000000E+02
       170    0.4590000000E+03    0.4718365230E+03    0.8925000000E+02
       171    0.4890000000E+03    0.4718365230E+03    0.8925000000E+02
       172    0.4770000000E+03    0.4788481008E+03    0.9275000000E+02
       173    0.4690000000E+03    0.4823538897E+03    0.9450000000E+02
       174    0.4960000000E+03    0.4753423119E+03    0.9100000000E+02
       175    0.4670000000E+03    0.4718365230E+03    0.8925000000E+02
       176    0.5110000000E+03    0.4718365230E+03    0.8925000000E+02
       177    0.4900000000E+03    0.4788481008E+03    0.9275000000E+02
       178    0.5230000000E+03    0.4823538897E+03    0.9450000000E+02
       179    0.4760000000E+03    0.4683307341E+03    0.8750000000E+02
       180    0.6100000000E+03    0.6290961966E+03    0.1677500000E+03
       181    0.5810000000E+03    0.6015507123E+03    0.1540000000E+03
       182    0.6250000000E+03    0.6511325839E+03    0.1787500000E+03
       183    0.5620000000E+03    0.6070598092E+03    0.1567500000E+03
       184    0.6350000000E+03    0.6180780029E+03    0.1622500000E+03
       185    0.5660000000E+03    0.6070598092E+03    0.1567500000E+03
       186    0.6380000000E+03    0.6125689060E+03    0.1595000000E+03
       187    0.6060000000E+03    0.6015507123E+03    0.1540000000E+03
       188    0.5820000000E+03    0.6070598092E+03    0.1567500000E+03
       189    0.6340000000E+03    0.6180780029E+03    0.1622500000E+03
       190    0.5850000000E+03    0.6070598092E+03    0.1567500000E+03
       191    0.6030000000E+03    0.6125689060E+03    0.1595000000E+03
       192    0.6250000000E+03    0.6070598092E+03    0.1567500000E+03
       193    0.6310000000E+03    0.6125689060E+03    0.1595000000E+03
       194    0.6250000000E+03    0.6511325839E+03    0.1787500000E+03
       195    0.5510000000E+03    0.5679953043E+03    0.1372500000E+03
       196    0.5390000000E+03    0.5454580899E+03    0.1260000000E+03
       197    0.5640000000E+03    0.5860250758E+03    0.1462500000E+03
       198    0.5500000000E+03    0.5499655328E+03    0.1282500000E+03
       199    0.5900000000E+03    0.5589804185E+03    0.1327500000E+03
       200    0.5270000000E+03    0.5499655328E+03    0.1282500000E+03
       201    0.5570000000E+03    0.5544729757E+03    0.1305000000E+03
       202    0.5510000000E+03    0.5454580899E+03    0.1260000000E+03
       203    0.5830000000E+03    0.5499655328E+03    0.1282500000E+03
       204    0.5700000000E+03    0.5589804185E+03    0.1327500000E+03
       205    0.5430000000E+03    0.5499655328E+03    0.1282500000E+03
       206    0.5430000000E+03    0.5544729757E+03    0.1305000000E+03
       207    0.5630000000E+03    0.5499655328E+03    0.1282500000E+03
       208    0.5770000000E+03    0.5544729757E+03    0.1305000000E+03
       209    0.5780000000E+03    0.5860250758E+03    0.1462500000E+03
       210    0.4900000000E+03    0.5068944120E+03    0.1067500000E+03
       211    0.4960000000E+03    0.4893654675E+03    0.9800000000E+02
       212    0.5110000000E+03    0.5209175676E+03    0.1137500000E+03
       213    0.4940000000E+03    0.4928712564E+03    0.9975000000E+02
       214    0.5170000000E+03    0.4998828342E+03    0.1032500000E+03
       215    0.4800000000E+03    0.4928712564E+03    0.9975000000E+02
       216    0.5020000000E+03    0.4963770453E+03    0.1015000000E+03
       217    0.5040000000E+03    0.4893654675E+03    0.9800000000E+02
       218    0.5050000000E+03    0.4928712564E+03    0.9975000000E+02
       219    0.5020000000E+03    0.4998828342E+03    0.1032500000E+03
       220    0.4960000000E+03    0.4928712564E+03    0.9975000000E+02
       221    0.5010000000E+03    0.4963770453E+03    0.1015000000E+03
       222    0.5170000000E+03    0.4928712564E+03    0.9975000000E+02
       223    0.5230000000E+03    0.4963770453E+03    0.1015000000E+03
       224    0.5160000000E+03    0.5209175676E+03    0.1137500000E+03
       225    0.4860000000E+03    0.5000831650E+03    0.1033500000E+03
       226    0.4270000000E+03    0.4947743989E+03    0.1007000000E+03
       227    0.5100000000E+03    0.5053919310E+03    0.1060000000E+03
       228    0.4510000000E+03    0.5053919310E+03    0.1060000000E+03
       229    0.4250000000E+03    0.5107006971E+03    0.1086500000E+03
       230    0.4320000000E+03    0.4947743989E+03    0.1007000000E+03
       231    0.4820000000E+03    0.5053919310E+03    0.1060000000E+03
       232    0.4350000000E+03    0.4610186601E+03    0.8385000000E+02
       233    0.4060000000E+03    0.4567115480E+03    0.8170000000E+02
       234    0.4700000000E+03    0.4653257722E+03    0.8600000000E+02
       235    0.4380000000E+03    0.4653257722E+03    0.8600000000E+02
       236    0.4040000000E+03    0.4696328842E+03    0.8815000000E+02
       237    0.4060000000E+03    0.4567115480E+03    0.8170000000E+02
       238    0.4430000000E+03    0.4653257722E+03    0.8600000000E+02
       239    0.3970000000E+03    0.4219541552E+03    0.6435000000E+02
       240    0.3850000000E+03    0.4186486971E+03    0.6270000000E+02
       241    0.4250000000E+03    0.4252596133E+03    0.6600000000E+02
       242    0.3960000000E+03    0.4252596133E+03    0.6600000000E+02
       243    0.3800000000E+03    0.4285650714E+03    0.6765000000E+02
       244    0.3630000000E+03    0.4186486971E+03    0.6270000000E+02
       245    0.3980000000E+03    0.4252596133E+03    0.6600000000E+02
       246    0.5050000000E+03    0.5160094631E+03    0.1113000000E+03
       247    0.5360000000E+03    0.5213182292E+03    0.1139500000E+03
       248    0.4840000000E+03    0.5160094631E+03    0.1113000000E+03
       249    0.4950000000E+03    0.5160094631E+03    0.1113000000E+03
       250    0.5510000000E+03    0.5160094631E+03    0.1113000000E+03
       251    0.4770000000E+03    0.5319357613E+03    0.1192500000E+03
       252    0.5300000000E+03    0.5107006971E+03    0.1086500000E+03
       253    0.5160000000E+03    0.5053919310E+03    0.1060000000E+03
       254    0.4450000000E+03    0.5107006971E+03    0.1086500000E+03
       255    0.5510000000E+03    0.5372445273E+03    0.1219000000E+03
       256    0.5100000000E+03    0.5213182292E+03    0.1139500000E+03
       257    0.4430000000E+03    0.5107006971E+03    0.1086500000E+03
       258    0.4490000000E+03    0.4739399963E+03    0.9030000000E+02
       259    0.5020000000E+03    0.4782471084E+03    0.9245000000E+02
       260    0.4510000000E+03    0.4739399963E+03    0.9030000000E+02
       261    0.4590000000E+03    0.4739399963E+03    0.9030000000E+02
       262    0.4970000000E+03    0.4739399963E+03    0.9030000000E+02
       263    0.4510000000E+03    0.4868613326E+03    0.9675000000E+02
       264    0.4970000000E+03    0.4696328842E+03    0.8815000000E+02
       265    0.4610000000E+03    0.4653257722E+03    0.8600000000E+02
       266    0.3990000000E+03    0.4696328842E+03    0.8815000000E+02
       267    0.5020000000E+03    0.4911684446E+03    0.9890000000E+02
       268    0.4900000000E+03    0.4782471084E+03    0.9245000000E+02
       269    0.4240000000E+03    0.4696328842E+03    0.8815000000E+02
       270    0.4110000000E+03    0.4318705295E+03    0.6930000000E+02
       271    0.4480000000E+03    0.4351759876E+03    0.7095000000E+02
       272    0.4040000000E+03    0.4318705295E+03    0.6930000000E+02
       273    0.4110000000E+03    0.4318705295E+03    0.6930000000E+02
       274    0.4380000000E+03    0.4318705295E+03    0.6930000000E+02
       275    0.4100000000E+03    0.4417869038E+03    0.7425000000E+02
       276    0.4500000000E+03    0.4285650714E+03    0.6765000000E+02
       277    0.4100000000E+03    0.4252596133E+03    0.6600000000E+02
       278    0.3830000000E+03    0.4285650714E+03    0.6765000000E+02
       279    0.4600000000E+03    0.4450923619E+03    0.7590000000E+02
       280    0.4420000000E+03    0.4351759876E+03    0.7095000000E+02
       281    0.3990000000E+03    0.4285650714E+03    0.6765000000E+02
       282    0.5630000000E+03    0.4629218026E+03    0.8480000000E+02
       283    0.5300000000E+03    0.4629218026E+03    0.8480000000E+02
       284    0.5700000000E+03    0.4629218026E+03    0.8480000000E+02
       285    0.5780000000E+03    0.4788481008E+03    0.9275000000E+02
       286    0.5370000000E+03    0.4576130366E+03    0.8215000000E+02
       287    0.5690000000E+03    0.4682305687E+03    0.8745000000E+02
       288    0.5760000000E+03    0.4416867384E+03    0.7420000000E+02
       289    0.5490000000E+03    0.4735393347E+03    0.9010000000E+02
       290    0.5220000000E+03    0.4523042705E+03    0.7950000000E+02
       291    0.5700000000E+03    0.4629218026E+03    0.8480000000E+02
       292    0.5100000000E+03    0.4308688755E+03    0.6880000000E+02
       293    0.5100000000E+03    0.4308688755E+03    0.6880000000E+02
       294    0.5170000000E+03    0.4308688755E+03    0.6880000000E+02
       295    0.5400000000E+03    0.4437902118E+03    0.7525000000E+02
       296    0.5180000000E+03    0.4265617635E+03    0.6665000000E+02
       297    0.5230000000E+03    0.4351759876E+03    0.7095000000E+02
       298    0.5370000000E+03    0.4136404272E+03    0.6020000000E+02
       299    0.5360000000E+03    0.4394830997E+03    0.7310000000E+02
       300    0.5030000000E+03    0.4222546514E+03    0.6450000000E+02
       301    0.5400000000E+03    0.4308688755E+03    0.6880000000E+02
       302    0.4900000000E+03    0.3988159484E+03    0.5280000000E+02
       303    0.4770000000E+03    0.3988159484E+03    0.5280000000E+02
       304    0.4830000000E+03    0.3988159484E+03    0.5280000000E+02
       305    0.5030000000E+03    0.4087323228E+03    0.5775000000E+02
       306    0.4710000000E+03    0.3955104903E+03    0.5115000000E+02
       307    0.4760000000E+03    0.4021214065E+03    0.5445000000E+02
       308    0.5020000000E+03    0.3855941160E+03    0.4620000000E+02
       309    0.4960000000E+03    0.4054268646E+03    0.5610000000E+02
       310    0.4710000000E+03    0.3922050322E+03    0.4950000000E+02
       311    0.4970000000E+03    0.3988159484E+03    0.5280000000E+02
       312    0.5910000000E+03    0.5613843881E+03    0.1339500000E+03
       313    0.5900000000E+03    0.5660921617E+03    0.1363000000E+03
       314    0.6060000000E+03    0.5943388037E+03    0.1504000000E+03
       315    0.5840000000E+03    0.5613843881E+03    0.1339500000E+03
       316    0.6040000000E+03    0.5802154827E+03    0.1433500000E+03
       317    0.5910000000E+03    0.5755077091E+03    0.1410000000E+03
       318    0.5880000000E+03    0.5943388037E+03    0.1504000000E+03
       319    0.5880000000E+03    0.5472610671E+03    0.1269000000E+03
       320    0.5500000000E+03    0.5896310301E+03    0.1480500000E+03
       321    0.6090000000E+03    0.5849232564E+03    0.1457000000E+03
       322    0.6040000000E+03    0.5613843881E+03    0.1339500000E+03
       323    0.6190000000E+03    0.6037543511E+03    0.1551000000E+03
       324    0.6430000000E+03    0.5802154827E+03    0.1433500000E+03
       325    0.5690000000E+03    0.5755077091E+03    0.1410000000E+03
       326    0.5510000000E+03    0.5042901117E+03    0.1054500000E+03
       327    0.5430000000E+03    0.5079962314E+03    0.1073000000E+03
       328    0.5430000000E+03    0.5302329495E+03    0.1184000000E+03
       329    0.5240000000E+03    0.5042901117E+03    0.1054500000E+03
       330    0.5710000000E+03    0.5191145904E+03    0.1128500000E+03
       331    0.5420000000E+03    0.5154084708E+03    0.1110000000E+03
       332    0.5310000000E+03    0.5302329495E+03    0.1184000000E+03
       333    0.5310000000E+03    0.4931717526E+03    0.9990000000E+02
       334    0.5120000000E+03    0.5265268298E+03    0.1165500000E+03
       335    0.5630000000E+03    0.5228207101E+03    0.1147000000E+03
       336    0.5500000000E+03    0.5042901117E+03    0.1054500000E+03
       337    0.5830000000E+03    0.5376451889E+03    0.1221000000E+03
       338    0.5830000000E+03    0.5191145904E+03    0.1128500000E+03
       339    0.5500000000E+03    0.5154084708E+03    0.1110000000E+03
       340    0.4820000000E+03    0.4471958353E+03    0.7695000000E+02
       341    0.4820000000E+03    0.4499003010E+03    0.7830000000E+02
       342    0.4900000000E+03    0.4661270953E+03    0.8640000000E+02
       343    0.4760000000E+03    0.4471958353E+03    0.7695000000E+02
       344    0.4830000000E+03    0.4580136982E+03    0.8235000000E+02
       345    0.4800000000E+03    0.4553092324E+03    0.8100000000E+02
       346    0.4910000000E+03    0.4661270953E+03    0.8640000000E+02
       347    0.4710000000E+03    0.4390824381E+03    0.7290000000E+02
       348    0.4690000000E+03    0.4634226296E+03    0.8505000000E+02
       349    0.4900000000E+03    0.4607181639E+03    0.8370000000E+02
       350    0.4830000000E+03    0.4471958353E+03    0.7695000000E+02
       351    0.4980000000E+03    0.4715360268E+03    0.8910000000E+02
       352    0.4910000000E+03    0.4580136982E+03    0.8235000000E+02
       353    0.4630000000E+03    0.4553092324E+03    0.8100000000E+02
       354    0.6000000000E+03    0.5143066514E+03    0.1104500000E+03
       355    0.6150000000E+03    0.5143066514E+03    0.1104500000E+03
       356    0.6070000000E+03    0.5001833304E+03    0.1034000000E+03
       357    0.5960000000E+03    0.5048911040E+03    0.1057500000E+03
       358    0.6180000000E+03    0.5190144250E+03    0.1128000000E+03
       359    0.5850000000E+03    0.5237221987E+03    0.1151500000E+03
       360    0.5510000000E+03    0.4672289147E+03    0.8695000000E+02
       361    0.5560000000E+03    0.4672289147E+03    0.8695000000E+02
       362    0.5500000000E+03    0.4561105556E+03    0.8140000000E+02
       363    0.5370000000E+03    0.4598166753E+03    0.8325000000E+02
       364    0.5430000000E+03    0.4709350344E+03    0.8880000000E+02
       365    0.5430000000E+03    0.4746411541E+03    0.9065000000E+02
       366    0.4710000000E+03    0.4201511780E+03    0.6345000000E+02
       367    0.4760000000E+03    0.4201511780E+03    0.6345000000E+02
       368    0.4820000000E+03    0.4120377809E+03    0.5940000000E+02
       369    0.4770000000E+03    0.4147422466E+03    0.6075000000E+02
       370    0.4910000000E+03    0.4228556438E+03    0.6480000000E+02
       371    0.4790000000E+03    0.4255601095E+03    0.6615000000E+02
       372    0.7810000000E+03    0.7558054240E+03    0.2310000000E+03
       373    0.6980000000E+03    0.7480926884E+03    0.2271500000E+03
       374    0.9060000000E+03    0.7635181596E+03    0.2348500000E+03
       375    0.7400000000E+03    0.6716664904E+03    0.1890000000E+03
       376    0.6780000000E+03    0.6653560703E+03    0.1858500000E+03
       377    0.7700000000E+03    0.6779769104E+03    0.1921500000E+03
       378    0.7940000000E+03    0.8153036699E+03    0.2607000000E+03
       379    0.8550000000E+03    0.7994775372E+03    0.2528000000E+03
       380    0.7680000000E+03    0.8073906035E+03    0.2567500000E+03
       381    0.7450000000E+03    0.7227508429E+03    0.2145000000E+03
       382    0.7070000000E+03    0.7097293413E+03    0.2080000000E+03
