     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.2320000000E+03    0.2120891220E+03    0.7800000000E+01    0.0000000000E+00    0.9130434783E+00
         2    0.2350000000E+03    0.2187673302E+03    0.7500000000E+01    0.0000000000E+00    0.6923076923E+00
         3    0.2350000000E+03    0.1867741024E+03    0.7800000000E+01    0.0000000000E+00    0.1687500000E+01
         4    0.2410000000E+03    0.2150837810E+03    0.7800000000E+01    0.0000000000E+00    0.8214285714E+00
         5    0.2250000000E+03    0.2127831706E+03    0.6600000000E+01    0.0000000000E+00    0.8260869565E+00
         6    0.2450000000E+03    0.2106679280E+03    0.7800000000E+01    0.0000000000E+00    0.9565217391E+00
         7    0.2550000000E+03    0.2046361273E+03    0.8400000000E+01    0.0000000000E+00    0.1173913043E+01
         8    0.2450000000E+03    0.2142924345E+03    0.8100000000E+01    0.0000000000E+00    0.8620689655E+00
         9    0.2750000000E+03    0.1887704491E+03    0.8100000000E+01    0.0000000000E+00    0.1642857143E+01
        10    0.2390000000E+03    0.1993156648E+03    0.6600000000E+01    0.0000000000E+00    0.1238095238E+01
        11    0.2550000000E+03    0.2063279806E+03    0.6900000000E+01    0.0000000000E+00    0.1040000000E+01
        12    0.3970000000E+03    0.4328597439E+03    0.1207500000E+03   -0.2290027695E+01    0.3750000000E+00
        13    0.4190000000E+03    0.4313472426E+03    0.1207500000E+03   -0.2237820869E+02    0.6818181818E+00
        14    0.4010000000E+03    0.4224010882E+03    0.1173000000E+03   -0.5039646093E+01    0.5416666667E+00
        15    0.3940000000E+03    0.4425227184E+03    0.1242000000E+03   -0.2716027965E+02    0.5909090909E+00
        16    0.4260000000E+03    0.4221064415E+03    0.1138500000E+03   -0.7133969340E+01    0.3888888889E+00
        17    0.4260000000E+03    0.4475835658E+03    0.1311000000E+03   -0.1893541265E+02    0.7073170732E+00
        18    0.4540000000E+03    0.4258433106E+03    0.1138500000E+03   -0.2605683553E+02    0.5200000000E+00
        19    0.4180000000E+03    0.4095511548E+03    0.1104000000E+03   -0.4755979560E+01    0.5531914894E+00
        20    0.4160000000E+03    0.4501408851E+03    0.1276500000E+03   -0.2581935184E+02    0.5294117647E+00
        21    0.3950000000E+03    0.4307696284E+03    0.1207500000E+03   -0.2263356638E+01    0.4385964912E+00
        22    0.4330000000E+03    0.4421461355E+03    0.1276500000E+03   -0.4694427607E+01    0.5000000000E+00
        23    0.3790000000E+03    0.4196381827E+03    0.1104000000E+03   -0.2444725161E+02    0.5000000000E+00
        24    0.3820000000E+03    0.4015297918E+03    0.1032500000E+03   -0.2290027695E+01    0.3750000000E+00
        25    0.3850000000E+03    0.4000172904E+03    0.1032500000E+03   -0.2237820869E+02    0.6818181818E+00
        26    0.3650000000E+03    0.3919662775E+03    0.1003000000E+03   -0.5039646093E+01    0.5416666667E+00
        27    0.3790000000E+03    0.4102976248E+03    0.1062000000E+03   -0.2716027965E+02    0.5909090909E+00
        28    0.3770000000E+03    0.3925667724E+03    0.9735000000E+02   -0.7133969340E+01    0.3888888889E+00
        29    0.3940000000E+03    0.4135681892E+03    0.1121000000E+03   -0.1893541265E+02    0.7073170732E+00
        30    0.4250000000E+03    0.3963036415E+03    0.9735000000E+02   -0.2605683553E+02    0.5200000000E+00
        31    0.3950000000E+03    0.3809066272E+03    0.9440000000E+02   -0.4755979560E+01    0.5531914894E+00
        32    0.3930000000E+03    0.4170206500E+03    0.1091500000E+03   -0.2581935184E+02    0.5294117647E+00
        33    0.3750000000E+03    0.3994396763E+03    0.1032500000E+03   -0.2263356638E+01    0.4385964912E+00
        34    0.3890000000E+03    0.4090259003E+03    0.1091500000E+03   -0.4694427607E+01    0.5000000000E+00
        35    0.3580000000E+03    0.3909936550E+03    0.9440000000E+02   -0.2444725161E+02    0.5000000000E+00
        36    0.3440000000E+03    0.3701998397E+03    0.8575000000E+02   -0.2290027695E+01    0.3750000000E+00
